# Pokemon Insurgence Learnset Data  (generated by generate_data_from_game.py)
# Uses game-internal move IDs matching move_data.txt
# species_id | level:move_id level:move_id ...
24 | 1:248 1:75 1:142 1:325 1:374 1:28 1:440 4:440 9:28 12:367 17:400 20:437 22:24 27:411 27:339 27:415 32:438 39:228 44:443 48:696 51:258 56:442 63:427
25 | 1:419 1:79 5:368 7:687 10:310 13:80 18:83 21:314 23:359 26:74 29:688 34:71 37:282 42:69 45:466 50:70 53:482 58:65
26 | 1:79 1:419 1:310 1:69
27 | 1:311 1:357 3:238 5:440 7:510 9:317 11:12 14:236 17:299 20:320 23:232 26:293 30:225 34:527 38:418 42:513 46:223
28 | 1:311 1:357 1:440 1:238 3:238 5:440 7:510 9:317 11:12 14:236 17:299 20:320 22:285 24:232 28:293 33:225 38:527 43:418 48:513 53:223
29 | 1:368 1:311 7:419 9:112 13:440 19:320 21:28 25:372 31:447 33:42 37:24 43:352 45:435
30 | 1:368 1:311 7:419 9:112 13:440 20:320 23:28 28:372 35:447 38:42 43:24 50:352 58:435
31 | 1:88 1:311 1:419 1:112 1:440 23:287 35:276 43:224 58:88
32 | 1:374 1:168 7:364 9:112 13:440 19:324 21:294 25:372 31:447 33:42 37:430 43:352 45:334
33 | 1:374 1:168 7:364 9:112 13:440 20:324 23:294 28:372 35:447 38:42 43:430 50:352 58:334
34 | 1:1 1:168 1:364 1:112 1:440 23:287 35:268 43:224 58:1
35 | 1:344 1:477 1:683 1:309 1:368 1:360 7:404 10:323 13:357 16:365 19:349 22:106 25:384 28:465 31:380 34:471 37:377 40:276 43:385 46:627 49:472 52:518 55:477 58:344
36 | 1:683 1:404 1:323 1:384 1:380
37 | 1:146 4:419 7:397 9:685 10:310 12:184 15:147 18:32 20:151 23:29 26:179 28:141 31:453 34:398 36:136 39:480 42:128 44:187 47:352 50:133
38 | 1:480 1:45 1:136 1:310 1:184 1:398
39 | 1:404 5:357 9:309 10:687 11:683 15:358 18:323 21:510 24:297 28:106 32:493 35:276 37:382 40:527 44:272 49:265
40 | 1:265 1:641 1:404 1:357 1:358 1:323
41 | 1:13 5:413 7:181 11:28 13:164 17:184 19:166 23:299 25:435 29:379 31:165 35:258 37:433 41:159 43:122
42 | 1:400 1:13 1:413 1:181 1:28 5:413 7:181 11:28 13:164 17:184 19:166 24:299 27:435 32:379 35:165 40:258 43:433 48:159 51:122
43 | 1:210 5:417 9:437 13:445 14:220 15:218 19:207 23:377 27:385 31:200 35:446 39:335 43:627 47:679 51:192
44 | 1:210 1:417 1:437 5:417 9:437 13:445 14:220 15:218 19:207 24:377 29:385 34:200 39:446 44:335 49:682 54:679 59:192
45 | 1:207 1:212 1:445 1:220 49:682 59:192 64:195
46 | 1:311 6:220 6:445 11:13 17:12 22:219 27:293 33:369 38:200 43:212 49:18 54:4
47 | 1:431 1:311 1:220 1:445 1:13 6:220 6:445 11:13 17:12 22:219 29:293 37:369 44:200 51:212 59:18 66:4
48 | 1:303 1:358 1:366 5:413 11:462 13:445 17:13 23:220 25:460 29:218 35:5 37:455 41:435 47:452
49 | 1:17 1:3 1:9 1:303 1:358 1:413 1:366 5:413 11:462 13:445 17:13 23:220 25:460 29:218 31:167 37:5 41:455 47:435 55:452 59:3 63:17
50 | 1:311 1:238 4:368 7:181 12:234 15:236 18:229 23:26 26:228 29:224 34:225 37:293 40:223 45:235
51 | 1:694 1:27 1:284 1:311 1:368 1:238 4:368 7:181 12:234 15:236 18:229 23:26 26:232 28:228 33:224 40:225 45:293 50:223 57:235
52 | 1:311 1:368 6:28 9:306 14:320 17:400 22:29 25:49 30:308 33:293 38:45 41:31 46:352 49:27 50:314
53 | 1:641 1:48 1:311 1:368 1:28 1:306 6:28 9:306 14:320 17:400 22:29 25:49 28:299 32:505 37:293 44:45 49:31 56:352 61:27 65:314
54 | 1:558 1:311 4:419 8:551 11:462 15:320 18:548 22:358 25:400 29:539 32:455 36:557 39:392 43:468 46:536 50:500
55 | 1:550 1:558 1:311 1:419 1:551 4:419 8:551 11:462 15:320 18:548 22:358 25:455 29:400 32:539 38:557 43:392 49:468 54:536 60:500
56 | 1:296 1:311 1:117 1:374 1:364 9:320 13:107 17:119 21:400 25:31 33:414 37:89 41:268 45:38 49:86 53:116
57 | 1:116 1:37 1:311 1:117 1:364 1:374 9:320 13:107 17:119 21:400 25:31 28:316 35:414 41:89 47:268 53:38 59:86 63:116
58 | 1:28 1:397 6:146 8:374 10:388 12:372 17:143 19:118 21:142 23:274 28:141 30:466 32:291 34:136 39:24 41:132 43:53 45:129
59 | 1:75 1:28 1:397 1:142 1:388 34:278
60 | 1:558 5:551 8:479 11:554 15:323 18:556 21:276 25:546 28:230 31:348 35:106 38:536 41:228
61 | 1:558 1:551 1:479 5:551 8:479 11:554 15:323 18:556 21:276 27:546 32:230 37:348 43:106 48:536 53:228
62 | 1:101 1:546 1:479 1:323 1:97 32:90 43:383 53:101
63 | 1:497
64 | 1:497 1:481 1:462 16:462 18:358 21:460 23:487 26:492 28:458 31:393 33:496 36:467 38:452 41:494 43:450 46:498
65 | 1:497 1:481 1:462 16:462 18:358 21:460 23:487 26:492 28:458 31:393 33:496 36:467 38:452 41:470 43:450 46:498
66 | 1:117 1:374 3:364 7:107 9:366 13:103 15:119 19:104 21:35 25:100 27:106 31:60 33:97 37:120 39:89 43:399 45:90
67 | 1:117 1:374 1:364 1:107 3:364 7:107 9:366 13:103 15:119 19:104 21:35 25:100 27:106 33:60 37:97 43:120 47:89 53:399 57:90
68 | 1:515 1:117 1:374 1:364 1:107 3:364 7:107 9:366 13:103 15:119 19:104 21:35 25:100 27:106 33:60 37:97 43:120 47:89 53:399 57:90
69 | 1:208 7:369 11:325 13:218 15:445 17:220 23:437 27:35 29:417 35:443 39:205 41:282 47:342
70 | 1:208 1:369 1:325 7:369 11:325 13:218 15:445 17:220 23:437 27:35 29:417 35:443 39:205 41:282 47:342
71 | 1:411 1:415 1:339 1:208 1:218 1:205 1:417 27:202 47:191 47:197
72 | 1:440 4:413 7:326 10:437 13:447 16:548 19:325 22:438 25:546 28:469 31:430 34:545 37:400 40:179 43:428 46:536 49:342
73 | 1:395 1:342 1:440 1:413 1:326 1:437 4:413 7:326 10:437 13:447 16:548 19:325 22:438 25:546 28:469 32:430 36:545 40:400 44:179 46:342 48:428 52:536
74 | 1:303 1:357 4:237 6:512 10:510 12:236 16:507 18:509 22:229 24:261 28:514 30:511 34:223 36:260 40:265 42:503
75 | 1:303 1:357 1:237 1:512 4:237 6:512 10:510 12:236 16:507 18:509 22:229 24:261 30:514 34:511 40:223 44:260 50:265 54:503
76 | 1:528 1:303 1:357 1:237 1:512 4:237 6:512 10:510 12:236 16:507 18:509 22:229 24:261 30:514 34:511 40:223 44:260 50:265 54:503 60:528
77 | 1:368 1:303 4:419 9:146 13:143 17:295 21:145 25:147 29:274 33:133 37:466 41:128 45:157 49:129
78 | 1:430 1:1 1:368 1:310 1:146 1:419 4:419 9:146 13:143 17:295 21:145 25:147 29:274 33:133 37:466 40:324 41:128 45:157 49:129
79 | 1:185 1:426 1:303 5:368 9:551 14:462 19:358 23:290 28:548 32:455 36:406 41:468 45:452 49:556 54:392 58:476
80 | 1:476 1:185 1:426 1:303 1:368 5:368 9:551 14:462 19:358 23:290 28:548 32:455 36:406 37:559 43:468 49:452 55:556 62:392 68:476
81 | 1:303 5:413 7:79 11:338 13:83 17:523 19:74 23:522 25:532 29:80 31:519 35:400 37:71 41:375 43:82 47:527 49:67
82 | 1:67 1:681 1:303 1:413 1:79 1:338 5:413 7:79 11:338 13:83 17:523 19:74 23:522 25:532 29:80 30:284 33:519 39:400 43:71 49:375 53:82 59:527 63:67
83 | 1:153 1:430 1:168 1:238 1:12 1:374 7:324 9:160 13:35 19:293 21:166 25:418 31:466 33:27 37:165 43:314 45:307 49:159 55:153
84 | 1:168 1:368 5:310 9:316 13:324 17:33 21:162 25:313 29:343 33:466 37:158 41:275 45:329 49:268
85 | 1:168 1:368 1:310 1:316 5:310 9:316 13:324 17:33 21:162 25:284 29:343 35:466 41:158 47:275 53:329 59:268
86 | 1:290 3:368 7:558 11:250 13:360 17:252 21:493 23:555 27:246 31:550 33:545 37:274 41:541 43:539 47:243 51:398 53:257
87 | 1:290 1:368 1:250 1:5 3:368 7:5 11:250 13:360 17:252 21:493 23:555 27:246 31:550 33:545 34:256 39:274 45:541 49:539 55:243 61:398 65:257
88 | 1:309 1:444 4:370 7:234 12:358 15:432 18:228 21:384 26:37 29:429 32:428 37:400 40:427 43:441 46:696 48:44
89 | 1:309 1:444 1:370 1:234 4:370 7:234 12:358 15:432 18:228 21:384 26:37 29:429 32:428 37:400 38:693 40:427 46:441 52:696 57:44
90 | 1:303 4:559 8:413 13:255 16:391 20:374 25:552 28:252 32:544 37:246 40:553 44:545 49:531 52:243 56:402 61:536
91 | 1:536 1:402 1:447 1:559 1:413 1:246 1:391 13:318 28:239 50:244
92 | 1:479 1:182 5:189 8:379 12:185 15:183 19:184 22:26 26:32 29:175 33:449 36:25 40:186 43:179 47:188
93 | 1:479 1:182 1:189 5:189 8:379 12:185 15:183 19:184 22:26 25:178 28:32 33:175 39:449 44:25 50:186 55:179 61:188
94 | 1:479 1:182 1:189 5:189 8:379 12:185 15:183 19:184 22:26 25:178 28:32 33:175 39:449 44:25 50:186 55:179 61:188
95 | 1:237 1:303 1:370 1:322 4:185 7:507 10:508 13:316 16:514 19:512 20:527 22:509 25:59 28:282 31:400 34:504 37:232 40:517 43:225 46:503 49:265 52:513
96 | 1:309 1:479 5:358 9:462 13:290 17:444 21:486 25:460 29:290 33:392 37:459 41:455 45:414 49:452 53:45 57:454 61:450
97 | 1:450 1:45 1:188 1:48 1:309 1:462 1:358 1:479 5:358 9:462 13:290 17:444 21:486 25:460 29:290 33:392 37:459 41:455 45:414 49:452 53:45 57:454 61:450
98 | 1:237 1:554 5:300 9:374 11:370 15:546 19:230 21:525 25:295 29:391 31:332 35:282 39:545 41:540 45:330
99 | 1:515 1:237 1:554 1:300 1:374 5:300 9:374 11:370 15:546 19:230 21:525 25:295 32:391 37:332 44:282 51:545 56:540 63:330
100 | 1:81 1:303 4:338 6:689 9:74 11:510 13:400 16:78 20:299 22:80 26:261 29:482 34:82 37:71 41:260 46:527 48:463
101 | 1:736 1:81 1:303 1:338 1:74 4:338 6:689 9:74 11:510 13:400 16:78 20:299 22:80 26:261 29:482 36:82 41:71 47:260 54:527 58:463
102 | 1:321 1:275 1:479 7:492 11:217 17:209 19:220 21:445 23:218 27:462 33:222 37:335 43:195 47:453 50:349
103 | 1:199 1:321 1:479 1:462 1:295 17:454 27:269 37:196 47:191
104 | 1:368 3:419 7:227 11:290 13:374 17:364 21:231 23:316 27:307 31:268 33:37 37:233 41:329 43:265 47:291
105 | 1:180 1:368 1:419 1:227 1:290 3:419 7:227 11:290 13:374 17:364 21:231 23:316 27:307 33:268 37:37 43:233 49:329 53:265 59:291 65:692
106 | 1:118 1:86 1:267 1:104 1:112 5:486 9:105 13:92 17:98 21:364 25:314 29:85 33:383 37:366 41:515 45:137 49:361 53:267 57:86 61:118
107 | 1:86 1:115 1:84 1:104 1:319 6:466 11:33 16:108 16:526 21:314 26:111 31:122 36:72 36:140 36:245 41:96 46:280 50:121 56:84 61:115 66:86
108 | 1:182 5:413 9:357 13:35 17:325 21:295 25:358 29:282 33:510 37:287 41:378 45:396 49:400 53:193 57:342
109 | 1:444 1:303 4:439 7:408 12:31 15:434 18:432 23:261 26:258 29:527 34:429 37:260 40:186 42:696 45:44
110 | 1:444 1:303 1:439 1:408 4:439 7:408 12:31 15:434 18:432 23:261 26:258 29:313 34:429 40:260 46:186 51:696 57:44
111 | 1:294 1:419 5:324 9:399 13:509 17:295 21:229 25:287 29:511 33:226 37:274 41:503 45:223 49:1 53:334
112 | 1:334 1:294 1:419 1:324 1:399 5:324 9:399 13:509 17:295 21:229 25:287 29:511 33:226 37:274 41:503 42:91 48:223 55:1 62:334
113 | 1:265 1:357 1:309 1:368 5:419 9:396 12:323 16:409 20:349 23:384 27:274 31:404 34:37 38:476 42:269 46:482 50:477 54:265
114 | 1:216 1:326 4:218 7:208 10:210 14:445 17:322 20:369 23:207 27:35 30:220 33:335 36:200 38:506 41:282 44:421 46:342 48:679 50:193
115 | 1:319 1:374 7:306 10:419 13:28 19:313 22:316 25:280 31:287 34:288 37:24 43:361 46:53 49:26 50:118
116 | 1:554 5:408 9:374 13:551 17:61 21:546 26:364 31:545 36:466 41:56 46:63 52:536
117 | 1:536 1:554 1:408 1:374 1:551 5:408 9:374 13:551 17:61 21:546 26:364 31:545 36:466 41:56 46:63 52:536
118 | 1:168 1:419 1:558 5:413 8:294 13:330 16:548 21:555 24:324 29:466 32:543 37:334 40:557 45:1
119 | 1:1 1:430 1:168 1:419 1:413 1:558 5:413 8:294 13:330 16:548 21:555 24:324 29:466 32:543 40:334 46:557 54:1
120 | 1:303 1:370 4:551 7:317 10:393 13:464 16:299 18:546 22:351 24:527 28:545 31:384 35:395 37:505 40:184 42:452 46:482 49:471 53:536
121 | 1:536 1:551 1:317 1:299 1:393 22:184
122 | 1:680 1:203 1:122 1:515 1:489 1:474 1:462 1:469 4:356 8:486 11:323 15:382 15:464 18:360 22:482 22:492 25:460 29:412 32:394 36:498 39:452 43:494 46:347 50:398
123 | 1:111 1:310 1:374 5:364 9:33 13:307 17:466 21:164 25:12 29:293 33:281 37:359 41:4 45:27 49:313 50:159 57:418 61:314
124 | 1:642 1:390 1:309 1:182 1:376 1:253 5:182 8:376 11:253 15:323 18:245 21:461 25:379 28:41 33:106 39:249 44:276 49:342 55:390 60:242
125 | 1:310 1:374 1:79 5:79 8:117 12:299 15:76 19:83 22:80 26:482 29:72 36:71 42:400 49:69 55:65
126 | 1:439 1:374 1:146 5:146 8:408 12:29 15:147 19:434 22:141 26:184 29:140 36:139 42:150 49:136 55:128
127 | 1:300 1:364 4:322 8:119 11:370 15:104 18:100 22:313 26:98 29:97 33:4 36:110 40:418 43:268 47:88 50:332
128 | 1:303 3:419 5:316 8:294 11:399 15:33 19:493 24:32 29:425 35:455 41:274 48:414 50:268 63:262
129 | 1:410 15:303 30:330
130 | 1:268 20:28 23:62 26:374 29:61 32:248 35:539 38:556 41:24 44:536 47:63 50:263
131 | 1:404 1:368 1:551 4:259 7:184 10:252 14:548 18:276 22:556 27:390 32:243 37:545 43:398 47:536 50:256
132 | 1:422
133 | 1:372 1:368 1:303 1:419 5:238 9:685 10:299 13:310 17:28 20:396 23:296 25:274 29:353 33:347 37:265 41:264 45:341
134 | 1:372 1:303 1:419 5:238 9:551 13:310 17:548 20:246 25:555 29:441 33:258 37:537 41:264 45:536
135 | 1:372 1:303 1:419 5:238 9:79 13:310 17:112 20:75 25:14 29:466 33:83 37:71 41:264 45:65
136 | 1:372 1:303 1:419 5:238 9:146 13:310 17:28 20:142 25:147 29:399 33:439 37:139 41:264 45:129
137 | 1:355 1:303 1:354 1:401 7:460 12:466 18:393 23:82 29:5 34:394 40:71 45:375 50:284 56:484 62:67
138 | 1:326 1:559 7:28 10:551 16:510 19:374 25:230 28:545 34:391 37:506 43:421 46:511 50:402 55:536
139 | 1:536 1:326 1:559 1:28 7:28 10:551 16:510 19:374 25:230 28:545 34:391 37:506 40:318 48:421 56:511 67:402 75:536
140 | 1:311 1:370 6:210 11:374 16:230 21:238 26:361 31:550 36:207 41:532 46:506 50:342
141 | 1:27 1:314 1:311 1:370 1:374 1:210 6:210 11:374 16:230 21:238 26:361 31:550 36:207 40:293 45:532 54:506 63:342 72:27
142 | 1:520 1:248 1:142 1:75 1:399 1:413 1:28 1:164 9:397 17:466 25:506 33:24 41:274 49:163 57:520 65:263 73:504 81:262
143 | 1:303 4:357 9:468 12:182 17:287 20:426 25:276 28:493 28:312 33:407 36:510 41:350 44:348 49:24 50:528 57:262
144 | 1:172 1:154 1:646 1:173 1:256 1:253 1:167 8:259 15:252 22:383 29:506 36:466 43:243 50:492 57:257 64:173 71:242 78:256 85:172 92:154
145 | 1:172 1:67 1:158 1:168 1:79 8:83 15:121 22:162 29:506 36:81 43:466 50:71 57:556 64:482 71:158 78:65 85:172 92:67
146 | 1:172 1:154 1:152 1:132 1:146 1:164 8:147 15:466 22:361 29:506 36:136 43:398 50:159 57:150 64:132 71:195 78:152 85:172 92:154
147 | 1:325 1:374 5:83 11:61 15:62 21:282 25:466 31:58 35:539 41:54 45:398 51:63 55:53 61:263
148 | 1:325 1:374 1:83 1:61 5:83 11:61 15:62 21:282 25:466 33:58 39:539 47:54 53:398 61:63 67:53 75:263
149 | 1:154 1:140 1:72 1:172 1:325 1:61 1:83 1:374 5:83 11:61 15:62 21:282 25:466 33:58 39:539 47:54 53:398 55:164 61:63 67:53 75:263 81:154
150 | 1:462 1:358 1:398 8:299 15:450 22:392 29:487 36:458 43:489 43:474 50:393 57:452 64:469 70:93 79:468 86:259 93:378 100:451
151 | 1:309 1:395 1:422 10:280 20:380 30:452 40:469 50:506 60:468 70:378 80:347 90:45 100:93
152 | 1:303 1:368 6:205 9:445 12:221 17:492 20:203 23:335 28:417 31:482 34:276 39:398 42:212 45:195
153 | 1:303 1:368 1:205 1:445 6:205 9:445 12:221 18:492 22:203 26:335 32:417 36:482 40:276 46:398 50:212 54:195
154 | 1:682 1:303 1:368 1:205 1:445 6:205 9:445 12:221 18:492 22:203 26:335 32:192 34:417 40:482 46:276 54:398 60:212 66:195 70:682
155 | 1:303 1:374 6:408 10:146 13:310 19:143 22:357 28:145 31:299 37:139 40:136 46:133 49:510 55:265 58:125
156 | 1:303 1:374 1:408 6:408 10:146 13:310 20:143 24:357 31:299 35:145 42:139 46:136 53:133 57:510 64:265 68:125
157 | 1:125 1:265 1:527 1:303 1:374 1:146 1:408 6:408 10:146 13:310 20:143 24:357 31:299 35:145 43:139 48:136 56:133 61:510 69:265 74:125
158 | 1:311 1:374 6:551 8:316 13:28 15:399 20:248 22:330 27:24 29:287 34:293 36:400 41:268 43:539 48:88 50:536
159 | 1:311 1:374 1:551 6:551 8:316 13:28 15:399 21:248 24:330 30:24 33:287 39:293 42:400 48:268 51:539 57:88 60:536
160 | 1:311 1:374 1:551 1:316 6:551 8:316 13:28 15:399 21:248 24:330 30:466 32:24 37:287 45:293 50:400 58:268 63:539 71:88 76:536
161 | 1:311 1:366 4:357 7:310 13:320 16:372 19:365 25:282 28:493 31:26 36:468 39:347 42:378 47:272
162 | 1:311 1:366 1:357 1:310 4:357 7:310 13:320 17:372 21:365 28:282 32:493 36:26 42:468 46:347 50:378 56:272
163 | 1:303 1:368 1:366 5:479 9:168 13:275 17:492 21:462 25:305 29:274 33:159 37:455 41:459 45:453 49:491 53:172 57:449
164 | 1:449 1:152 1:303 1:368 1:366 1:479 5:479 9:168 13:275 17:492 22:462 27:305 32:274 37:159 42:455 47:459 52:453 57:491 62:172 67:449
165 | 1:303 6:413 9:319 14:482 14:492 14:398 17:108 22:347 25:9 30:466 33:299 38:265 41:3
166 | 1:303 1:413 1:319 6:413 9:319 14:482 14:492 14:398 17:108 24:347 29:9 36:466 41:299 48:265 53:3
167 | 1:440 1:20 5:399 8:326 12:13 15:183 19:180 22:320 26:26 29:19 33:466 36:14 40:452 43:430 47:431 50:704
168 | 1:693 1:695 1:8 1:440 1:20 1:326 1:399 5:399 8:326 12:13 15:183 19:180 23:320 28:26 32:19 37:466 41:14 46:452 50:430 55:431 58:704
169 | 1:431 1:400 1:13 1:413 1:181 1:28 5:413 7:181 11:28 13:164 17:184 19:166 24:299 27:435 32:379 35:165 40:258 43:433 48:159 51:122
170 | 1:554 1:413 6:83 9:80 12:551 17:184 20:546 23:74 28:5 31:330 34:71 39:274 42:555 45:536 47:737 50:81
171 | 1:689 1:554 1:413 1:80 1:83 6:83 9:80 12:551 17:184 20:546 23:74 27:339 27:415 27:411 29:5 33:330 37:71 43:274 47:555 51:536 54:737 58:81
172 | 1:79 1:353 5:419 10:416 13:45 18:83
173 | 1:309 1:353 4:360 7:404 10:416 13:356 16:203
174 | 1:404 1:353 3:357 5:309 9:416 11:356
175 | 1:368 1:353 5:380 9:416 13:426 17:360 21:365 25:349 29:424 33:506 37:398 41:347 45:265 49:264 53:344
176 | 1:203 1:368 1:353 1:380 1:416 5:380 9:416 13:426 14:678 17:360 21:365 25:349 29:424 33:506 37:398 41:347 45:265 49:264 53:344
177 | 1:168 1:374 6:183 9:497 12:377 17:465 20:177 23:184 28:424 33:452 36:487 39:491 44:450 47:489 47:474 50:378
178 | 1:173 1:168 1:374 1:183 1:497 6:183 9:497 12:377 17:465 20:177 23:184 25:159 29:424 35:452 39:487 43:491 49:450 53:489 53:474 57:378
179 | 1:303 1:368 4:83 8:79 11:214 15:81 18:274 22:80 25:184 29:505 32:71 36:213 39:5 43:482 46:65
180 | 1:303 1:368 1:83 1:79 4:83 8:79 11:214 16:81 20:274 25:80 29:184 34:505 38:71 43:213 47:5 52:482 56:65
181 | 1:67 1:736 1:737 1:56 1:140 1:303 1:79 1:83 1:368 4:83 8:79 11:214 16:81 20:274 25:80 29:184 30:72 35:505 40:71 46:213 51:5 57:482 62:65 65:56
182 | 1:191 1:197 1:207 1:417 1:150 1:220 24:203 49:682 64:191
183 | 1:303 1:551 2:419 5:558 7:554 10:357 10:510 13:546 16:372 20:539 23:641 28:555 31:556 37:265 40:88 47:536
184 | 1:303 1:551 1:419 1:558 2:419 5:558 7:554 10:357 10:510 13:546 16:372 21:539 25:641 31:555 35:556 42:265 46:88 55:536
185 | 1:196 1:356 1:330 1:117 1:507 5:330 8:117 12:507 15:382 15:282 19:29 22:508 26:350 29:504 33:115 36:26 40:265 43:503 47:91
186 | 1:546 1:479 1:323 1:390 27:414 37:157 48:272
187 | 1:410 4:221 6:419 8:303 10:678 12:445 14:220 16:218 19:209 22:217 25:207 28:165 31:18 34:214 37:6 40:222 43:200 46:157 49:44
188 | 1:410 1:221 1:303 1:419 4:221 6:419 8:303 10:678 12:445 14:220 16:218 20:209 24:217 28:207 32:165 36:18 40:214 44:6 48:222 52:200 56:157 60:44
189 | 1:410 1:221 1:303 1:419 4:221 6:419 8:303 10:678 12:445 14:220 16:218 20:209 24:217 29:207 34:165 39:18 44:214 49:6 54:222 59:200 64:157 69:44
190 | 1:311 1:419 4:238 8:181 11:347 15:421 18:320 22:299 25:400 29:466 32:313 36:37 39:45 43:264
191 | 1:210 1:369 4:216 7:215 10:207 13:217 16:205 19:222 22:200 25:329 28:221 31:335 34:195 37:265 40:150 43:199
192 | 1:684 1:210 1:309 1:369 4:216 7:215 10:207 13:217 16:205 19:222 22:200 25:209 28:192 31:335 34:195 37:265 40:150 43:191 50:682
193 | 1:303 1:366 6:310 11:359 14:338 17:121 22:413 27:275 30:33 33:506 38:479 43:164 46:400 49:6 54:159 57:3
194 | 1:551 1:419 5:237 9:230 15:282 19:228 23:468 29:426 33:223 37:556 43:258 43:259 47:537
195 | 1:551 1:419 1:237 5:237 9:230 15:282 19:228 24:468 31:426 36:223 41:556 48:258 48:259 53:537
196 | 1:372 1:303 1:419 5:238 9:462 13:310 17:299 20:460 25:450 29:392 33:386 37:452 41:264 45:489
197 | 1:372 1:303 1:419 5:238 9:33 13:310 17:184 20:29 25:31 29:400 33:385 37:379 41:264 45:474
198 | 1:168 1:181 5:33 11:258 15:164 21:183 25:31 31:49 35:29 41:379 45:22 50:173 55:26 61:50 65:46
199 | 1:476 1:505 1:333 1:185 1:303 1:426 5:368 9:551 14:462 19:358 23:290 28:548 32:455 36:45 41:414 45:452 49:341 54:392 58:476
200 | 1:368 1:464 5:189 10:181 14:184 19:379 23:179 28:460 32:389 37:32 41:175 46:390 50:187 55:505
201 | 1:333
202 | 1:115 1:463 1:398 1:186
203 | 1:489 1:474 1:181 1:303 1:462 1:368 5:388 10:31 14:295 19:460 23:466 25:279 28:313 32:455 37:24 41:347 46:45 50:452
204 | 1:303 1:391 6:261 9:8 12:274 17:317 20:327 23:335 28:239 31:32 34:260 39:531 42:527 45:265
205 | 1:528 1:67 1:82 1:447 1:303 1:8 1:261 1:391 12:274 17:317 20:327 23:335 28:239 31:522 32:530 36:32 42:260 46:531 50:527 56:265 60:82 64:67 70:528
206 | 1:316 1:357 4:510 7:189 10:33 13:400 16:426 19:506 22:274 25:172 28:367 31:225 34:265 37:442 40:361 43:226 46:329 49:330
207 | 1:440 4:238 7:370 10:35 13:310 16:12 19:29 22:165 27:293 30:6 35:400 40:4 45:96 50:418 55:332
208 | 1:75 1:248 1:142 1:237 1:303 1:370 1:322 4:185 7:507 10:508 13:316 16:514 19:530 20:527 22:509 25:59 28:282 31:400 34:504 37:24 40:517 43:225 46:503 49:265 52:513
209 | 1:248 1:142 1:75 1:303 1:399 1:419 1:353 7:28 13:182 19:290 25:397 31:316 37:641 43:32 49:24
210 | 1:53 1:248 1:142 1:75 1:303 1:399 1:419 1:353 7:28 13:182 19:290 27:397 35:316 43:641 51:32 59:24 67:53
