# Pokemon Insurgence Form Data (generated by generate_pokemon_data.py)
# SpeciesID | SpeciesName | FormID | FormName
248 | Tyranitar | 2 | Armored Tyranitar
254 | Sceptile | 0 | Sceptile
254 | Sceptile | 1 | Mega Sceptile
257 | Blaziken | 0 | Blaziken
257 | Blaziken | 1 | Mega Blaziken
260 | Swampert | 0 | Swampert
260 | Swampert | 1 | Mega Swampert
275 | Shiftry | 0 | Shiftry
275 | Shiftry | 1 | Mega Shiftry
282 | Gardevoir | 0 | Gardevoir
282 | Gardevoir | 1 | Mega Gardevoir
282 | Gardevoir | 2 | Pokkén Gardevoir
282 | Gardevoir | 3 | Mega Pokkén Gardevoir
302 | Sableye | 0 | Sableye
302 | Sableye | 1 | Mega Sableye
303 | Mawile | 0 | Mawile
303 | Mawile | 1 | Mega Mawile
306 | Aggron | 0 | Aggron
306 | Aggron | 1 | Mega Aggron
308 | Medicham | 0 | Medicham
308 | Medicham | 1 | Mega Medicham
310 | Manectric | 0 | Manectric
310 | Manectric | 1 | Mega Manectric
319 | Sharpedo | 0 | Sharpedo
319 | Sharpedo | 1 | Mega Sharpedo
323 | Camerupt | 0 | Camerupt
323 | Camerupt | 1 | Mega Camerupt
330 | Flygon | 0 | Flygon
330 | Flygon | 1 | Armored Flygon
330 | Flygon | 2 | Mega Flygon
332 | Cacturne | 0 | Cacturne
332 | Cacturne | 1 | Mega Cacturne
334 | Altaria | 0 | Altaria
334 | Altaria | 1 | Mega Altaria
342 | Crawdaunt | 0 | Crawdaunt
342 | Crawdaunt | 1 | Mega Crawdaunt
350 | Milotic | 0 | Milotic
350 | Milotic | 1 | Mega Milotic
351 | Castform | 1 | Sunny Form
351 | Castform | 2 | Rainy Form
351 | Castform | 3 | Snowy Form
351 | Castform | 4 | Cloudy Form
351 | Castform | 5 | Sandy Form
354 | Banette | 0 | Banette
354 | Banette | 1 | Mega Banette
359 | Absol | 0 | Absol
359 | Absol | 1 | Mega Absol
362 | Glalie | 0 | Glalie
362 | Glalie | 1 | Mega Glalie
373 | Salamence | 0 | Salamence
373 | Salamence | 1 | Mega Salamence
376 | Metagross | 0 | Metagross
376 | Metagross | 1 | Mega Metagross
380 | Latias | 0 | Latias
380 | Latias | 1 | Mega Latias
381 | Latios | 0 | Latios
381 | Latios | 1 | Mega Latios
382 | Kyogre | 0 | Kyogre
382 | Kyogre | 1 | Primal Kyogre
383 | Groudon | 0 | Groudon
383 | Groudon | 1 | Primal Groudon
384 | Rayquaza | 0 | Rayquaza
384 | Rayquaza | 1 | Mega Rayquaza
385 | Jirachi | 0 | Jirachi
385 | Jirachi | 1 | Mega Jirachi
386 | Deoxys | 0 | Normal Forme
386 | Deoxys | 1 | Attack Forme
386 | Deoxys | 2 | Defense Forme
386 | Deoxys | 3 | Speed Forme
412 | Burmy | 0 | Plant Cloak
412 | Burmy | 1 | Sandy Cloak
412 | Burmy | 2 | Trash Cloak
413 | Wormadam | 0 | Plant Cloak
413 | Wormadam | 1 | Sandy Cloak
413 | Wormadam | 2 | Trash Cloak
421 | Cherrim | 0 | Overcast Form
421 | Cherrim | 1 | Sunshine Form
422 | Shellos | 0 | West Sea
422 | Shellos | 1 | East Sea
423 | Gastrodon | 0 | West Sea
423 | Gastrodon | 1 | East Sea
428 | Lopunny | 0 | Lopunny
428 | Lopunny | 1 | Mega Lopunny
441 | Chatot | 0 | Chatot
441 | Chatot | 1 | Mega Chatot
442 | Spiritomb | 0 | Spiritomb
442 | Spiritomb | 1 | Mega Spiritomb
445 | Garchomp | 0 | Garchomp
445 | Garchomp | 1 | Mega Garchomp
448 | Lucario | 0 | Lucario
448 | Lucario | 1 | Mega Lucario
448 | Lucario | 2 | Pokkén Lucario
448 | Lucario | 3 | Mega Pokkén Lucario
460 | Abomasnow | 0 | Abomasnow
460 | Abomasnow | 1 | Mega Abomasnow
475 | Gallade | 0 | Gallade
475 | Gallade | 1 | Mega Gallade
478 | Froslass | 0 | Froslass
478 | Froslass | 1 | Mega Froslass
479 | Rotom | 0 | Normal Rotom
479 | Rotom | 1 | Heat Rotom
479 | Rotom | 2 | Wash Rotom
479 | Rotom | 3 | Frost Rotom
479 | Rotom | 4 | Fan Rotom
479 | Rotom | 5 | Mow Rotom
486 | Regigigas | 0 | Regigigas
486 | Regigigas | 1 | Primal Regigigas
487 | Giratina | 0 | Altered Forme
487 | Giratina | 1 | Origin Forme
487 | Giratina | 2 | Primal Giratina
492 | Shaymin | 0 | Land Forme
492 | Shaymin | 1 | Sky Forme
493 | Arceus | 0 | Arceus
493 | Arceus | 1 | Fist Plate
493 | Arceus | 2 | Sky Plate
493 | Arceus | 3 | Toxic Plate
493 | Arceus | 4 | Earth Plate
493 | Arceus | 5 | Stone Plate
493 | Arceus | 6 | Insect Plate
493 | Arceus | 7 | Spooky Plate
493 | Arceus | 8 | Iron Plate
493 | Arceus | 9 | ???
493 | Arceus | 10 | Flame Plate
493 | Arceus | 11 | Splash Plate
493 | Arceus | 12 | Meadow Plate
493 | Arceus | 13 | Zap Plate
493 | Arceus | 14 | Mind Plate
493 | Arceus | 15 | Icicle Plate
493 | Arceus | 16 | Draco Plate
493 | Arceus | 17 | Dread Plate
493 | Arceus | 18 | Pixie Plate
493 | Arceus | 19 | Primal Arceus
523 | Zebstrika | 0 | Zebstrika
523 | Zebstrika | 1 | Mega Zebstrika
531 | Audino | 0 | Audino
531 | Audino | 1 | Mega Audino
542 | Leavanny | 0 | Leavanny
542 | Leavanny | 1 | Armored Leavanny
550 | Basculin | 0 | Red-Striped
550 | Basculin | 1 | Blue-Striped
555 | Darmanitan | 0 | Standard Mode
555 | Darmanitan | 1 | Zen Mode
571 | Zoroark | 0 | Zoroark
571 | Zoroark | 1 | Mega Zoroark
576 | Gothitelle | 0 | Gothitelle
576 | Gothitelle | 1 | Mega Gothitelle
579 | Reuniclus | 0 | Reuniclus
579 | Reuniclus | 1 | Mega Reuniclus
585 | Deerling | 0 | Spring Form
585 | Deerling | 1 | Summer Form
585 | Deerling | 2 | Autumn Form
585 | Deerling | 3 | Winter Form
586 | Sawsbuck | 0 | Spring Form
586 | Sawsbuck | 1 | Summer Form
586 | Sawsbuck | 2 | Autumn Form
586 | Sawsbuck | 3 | Winter Form
612 | Haxorus | 0 | Haxorus
612 | Haxorus | 1 | Mega Haxorus
615 | Cryogonal | 0 | Cryogonal
615 | Cryogonal | 1 | Mega Cryogonal
618 | Stunfisk | 0 | Stunfisk
618 | Stunfisk | 1 | Mega Stunfisk
625 | Bisharp | 0 | Bisharp
625 | Bisharp | 1 | Mega Bisharp
635 | Hydreigon | 0 | Hydreigon
635 | Hydreigon | 1 | Mega Hydreigon
641 | Tornadus | 0 | Incarnate Forme
641 | Tornadus | 1 | Therian Forme
642 | Thundurus | 0 | Incarnate Forme
642 | Thundurus | 1 | Therian Forme
644 | Zekrom | 0 | Zekrom
644 | Zekrom | 1 | Armored Zekrom
645 | Landorus | 0 | Incarnate Forme
645 | Landorus | 1 | Therian Forme
646 | Kyurem | 0 | Kyurem
646 | Kyurem | 1 | White Kyurem
646 | Kyurem | 2 | Black Kyurem
647 | Keldeo | 0 | Ordinary Form
647 | Keldeo | 1 | Resolute Form
648 | Meloetta | 0 | Aria Forme
648 | Meloetta | 1 | Pirouette Forme
649 | Genesect | 0 | Genesect
649 | Genesect | 1 | Shock Drive
649 | Genesect | 2 | Burn Drive
649 | Genesect | 3 | Chill Drive
649 | Genesect | 4 | Douse Drive
666 | Vivillon | 0 | Meadow Pattern
666 | Vivillon | 1 | Polar Pattern
666 | Vivillon | 2 | Tundra Pattern
666 | Vivillon | 3 | Continental Pattern
666 | Vivillon | 4 | Garden Pattern
666 | Vivillon | 5 | Elegant Pattern
666 | Vivillon | 6 | Icy Snow Pattern
666 | Vivillon | 7 | Modern Pattern
666 | Vivillon | 8 | Marine Pattern
666 | Vivillon | 9 | Archipelago Pattern
666 | Vivillon | 10 | High Plains Pattern
666 | Vivillon | 11 | Sandstorm Pattern
666 | Vivillon | 12 | River Pattern
666 | Vivillon | 13 | Monsoon Pattern
666 | Vivillon | 14 | Savanna Pattern
666 | Vivillon | 15 | Sun Pattern
666 | Vivillon | 16 | Ocean Pattern
666 | Vivillon | 17 | Jungle Pattern
666 | Vivillon | 18 | Fancy Pattern
666 | Vivillon | 19 | Poke Ball Pattern
669 | Flabébé | 0 | Red Flower
669 | Flabébé | 1 | Yellow Flower
669 | Flabébé | 2 | Orange Flower
669 | Flabébé | 3 | Blue Flower
669 | Flabébé | 4 | White Flower
670 | Floette | 0 | Red Flower
670 | Floette | 1 | Yellow Flower
670 | Floette | 2 | Orange Flower
670 | Floette | 3 | Blue Flower
670 | Floette | 4 | White Flower
671 | Florges | 0 | Red Flower
671 | Florges | 1 | Yellow Flower
671 | Florges | 2 | Orange Flower
671 | Florges | 3 | Blue Flower
671 | Florges | 4 | White Flower
672 | Skiddo | 0 | Red Flower
672 | Skiddo | 1 | Yellow Flower
672 | Skiddo | 2 | Orange Flower
672 | Skiddo | 3 | Blue Flower
672 | Skiddo | 4 | White Flower
676 | Furfrou | 0 | Natural Form
676 | Furfrou | 1 | Heart Trim
676 | Furfrou | 2 | Star Trim
676 | Furfrou | 3 | Diamond Trim
676 | Furfrou | 4 | Deputante Trim
676 | Furfrou | 5 | Matron Trim
676 | Furfrou | 6 | Dandy Trim
676 | Furfrou | 7 | La Reine Trim
676 | Furfrou | 8 | Kabuki Trim
676 | Furfrou | 9 | Pharaoh Trim
681 | Aegislash | 0 | Shield Forme
681 | Aegislash | 1 | Blade Forme
718 | Zygarde | 0 | 50% Forme
718 | Zygarde | 1 | 10% Forme
718 | Zygarde | 2 | Complete Forme
719 | Diancie | 0 | Diancie
719 | Diancie | 1 | Mega Diancie
720 | Hoopa | 0 | Confined
720 | Hoopa | 1 | Unbound
729 | Venusaur | 0 | Venusaur
729 | Venusaur | 1 | Mega Venusaur
732 | Charizard | 0 | Charizard
732 | Charizard | 1 | Mega Charizard
735 | Blastoise | 0 | Blastoise
735 | Blastoise | 1 | Mega Blastoise
737 | Bisharp | 0 | Bisharp
737 | Bisharp | 1 | Mega Bisharp
739 | Kirlia | 0 | Gallade
739 | Kirlia | 1 | Mega Gallade
740 | Gardevoir | 0 | Gardevoir
740 | Gardevoir | 1 | Mega Gardevoir
743 | Sunflora | 0 | Sunflora
743 | Sunflora | 1 | Mega Sunflora
747 | Scizor | 0 | Scizor
747 | Scizor | 1 | Mega Scizor
759 | Glalie | 0 | Glalie
759 | Glalie | 1 | Mega Glalie
760 | Froslass | 0 | Froslass
760 | Froslass | 1 | Mega Froslass
776 | Snorlax | 0 | Spring Form
776 | Snorlax | 1 | Summer Form
776 | Snorlax | 2 | Autumn Form
776 | Snorlax | 3 | Winter Form
776 | Snorlax | 4 | Sakura Form
781 | Typhlosion | 0 | Typhlosion
781 | Typhlosion | 1 | Mega Typhlosion (Inactive Mode)
781 | Typhlosion | 2 | Mega Typhlosion (Active Mode)
799 | Pidgeot | 0 | Pidgeot
799 | Pidgeot | 1 | Mega Pidgeot
830 | Girafarig | 0 | Girafarig
830 | Girafarig | 1 | Mega Girafarig
847 | Sableye | 0 | Sableye
847 | Sableye | 1 | Mega Sableye
848 | Mawile | 0 | Mawile
848 | Mawile | 1 | Mega Mawile
853 | Medicham | 0 | Medicham
853 | Medicham | 1 | Mega Medicham
855 | Camerupt | 0 | Camerupt
855 | Camerupt | 1 | Mega Camerupt
861 | Milotic | 0 | Milotic
861 | Milotic | 1 | Mega Milotic
867 | Metagross | 0 | Metagross
867 | Metagross | 1 | Mega Metagross
870 | Metagross | 0 | Metagross
870 | Metagross | 1 | Mega Metagross
870 | Metagross | 2 | Crystal Metagross
871 | Buneary | 0 | Lopunny
871 | Buneary | 1 | Mega Lopunny
874 | Lucario | 0 | Lucario
874 | Lucario | 1 | Mega Lucario
896 | Emolga | 0 | Delta Emolga
896 | Emolga | 1 | Blaze Boosted
914 | Volcarona | 0 | Volcarona
914 | Volcarona | 1 | Armored Volcarona
923 | Meloetta | 0 | Mime Forme
923 | Meloetta | 1 | Magician Forme
924 | Hoopa | 0 | Confined
924 | Hoopa | 1 | Unleashed
