# Pokemon Insurgence Species Data  (generated by generate_pokemon_data.py)
# ID | Name | Type1 | Type2 | Stage | Rarity | BaseHP | BaseAtk | BaseDef | BaseSpA | BaseSpD | BaseSpe | GrowthRate
1 | Bulbasaur | Grass | Poison | 1 | Common | 45 | 49 | 49 | 65 | 65 | 45 | medium-slow
107 | Hitmonchan | Fighting |  | 2 | Common | 50 | 105 | 79 | 35 | 110 | 76 | medium
108 | Lickitung | Normal |  | 1 | Common | 90 | 55 | 75 | 60 | 75 | 30 | medium
109 | Koffing | Poison |  | 1 | Common | 40 | 65 | 95 | 60 | 45 | 35 | medium
110 | Weezing | Poison |  | 2 | Common | 65 | 90 | 120 | 85 | 70 | 60 | medium
111 | Rhyhorn | Ground | Rock | 1 | Common | 80 | 85 | 95 | 30 | 30 | 25 | slow
112 | Rhydon | Ground | Rock | 2 | Common | 105 | 130 | 120 | 45 | 45 | 40 | slow
113 | Chansey | Normal |  | 2 | Common | 250 | 5 | 5 | 35 | 105 | 50 | fast
114 | Tangela | Grass |  | 1 | Common | 65 | 55 | 115 | 100 | 40 | 60 | medium
115 | Kangaskhan | Normal |  | 1 | Common | 105 | 95 | 80 | 40 | 80 | 90 | medium
116 | Horsea | Water |  | 1 | Common | 30 | 40 | 70 | 70 | 25 | 60 | medium
117 | Seadra | Water |  | 2 | Common | 55 | 65 | 95 | 95 | 45 | 85 | medium
118 | Goldeen | Water |  | 1 | Common | 45 | 67 | 60 | 35 | 50 | 63 | medium
119 | Seaking | Water |  | 2 | Common | 80 | 92 | 65 | 65 | 80 | 68 | medium
120 | Staryu | Water |  | 1 | Common | 30 | 45 | 55 | 70 | 55 | 85 | slow
121 | Starmie | Water | Psychic | 2 | Common | 60 | 75 | 85 | 100 | 85 | 115 | slow
122 | Mr. Mime | Psychic | Fairy | 2 | Common | 40 | 45 | 65 | 100 | 120 | 90 | medium
123 | Scyther | Bug | Flying | 1 | Common | 70 | 110 | 80 | 55 | 80 | 105 | medium
124 | Jynx | Ice | Psychic | 2 | Common | 65 | 50 | 35 | 115 | 95 | 95 | medium
125 | Electabuzz | Electric |  | 2 | Common | 65 | 83 | 57 | 95 | 85 | 105 | medium
126 | Magmar | Fire |  | 2 | Common | 65 | 95 | 57 | 100 | 85 | 93 | medium
127 | Pinsir | Bug |  | 1 | Common | 65 | 125 | 100 | 55 | 70 | 85 | slow
128 | Tauros | Normal |  | 1 | Common | 75 | 100 | 95 | 40 | 70 | 110 | slow
129 | Magikarp | Water |  | 1 | Common | 20 | 10 | 55 | 15 | 20 | 80 | slow
130 | Gyarados | Water | Flying | 2 | Common | 95 | 125 | 79 | 60 | 100 | 81 | slow
131 | Lapras | Water | Ice | 1 | Common | 130 | 85 | 80 | 85 | 95 | 60 | slow
132 | Ditto | Normal |  | 1 | Common | 48 | 48 | 48 | 48 | 48 | 48 | medium
133 | Eevee | Normal |  | 1 | Common | 55 | 55 | 50 | 45 | 65 | 55 | medium
134 | Vaporeon | Water |  | 2 | Common | 130 | 65 | 60 | 110 | 95 | 65 | medium
135 | Jolteon | Electric |  | 2 | Common | 65 | 65 | 60 | 110 | 95 | 130 | medium
136 | Flareon | Fire |  | 2 | Common | 65 | 130 | 60 | 95 | 110 | 65 | medium
137 | Porygon | Normal |  | 1 | Common | 65 | 60 | 70 | 85 | 75 | 40 | medium
138 | Omanyte | Rock | Water | 1 | Common | 35 | 40 | 100 | 90 | 55 | 35 | medium
139 | Omastar | Rock | Water | 2 | Common | 70 | 60 | 125 | 115 | 70 | 55 | medium
140 | Kabuto | Rock | Water | 1 | Common | 30 | 80 | 90 | 55 | 45 | 55 | medium
141 | Kabutops | Rock | Water | 2 | Common | 60 | 115 | 105 | 65 | 70 | 80 | medium
142 | Aerodactyl | Rock | Flying | 1 | Common | 80 | 105 | 65 | 60 | 75 | 130 | slow
143 | Snorlax | Normal |  | 2 | Common | 160 | 110 | 65 | 65 | 110 | 30 | slow
144 | Articuno | Ice | Flying | 1 | Legendary | 90 | 85 | 100 | 95 | 125 | 85 | slow
145 | Zapdos | Electric | Flying | 1 | Legendary | 90 | 90 | 85 | 125 | 90 | 100 | slow
146 | Moltres | Fire | Flying | 1 | Legendary | 90 | 100 | 90 | 125 | 85 | 90 | slow
147 | Dratini | Dragon |  | 1 | Common | 41 | 64 | 45 | 50 | 50 | 50 | slow
148 | Dragonair | Dragon |  | 2 | Common | 61 | 84 | 65 | 70 | 70 | 70 | slow
149 | Dragonite | Dragon | Flying | 3 | Common | 91 | 134 | 95 | 100 | 100 | 80 | slow
150 | Mewtwo | Psychic |  | 1 | Legendary | 106 | 110 | 90 | 154 | 90 | 130 | slow
151 | Mew | Psychic |  | 1 | Mythical | 100 | 100 | 100 | 100 | 100 | 100 | medium-slow
152 | Chikorita | Grass |  | 1 | Common | 45 | 49 | 65 | 49 | 65 | 45 | medium-slow
153 | Bayleef | Grass |  | 2 | Common | 60 | 62 | 80 | 63 | 80 | 60 | medium-slow
154 | Meganium | Grass |  | 3 | Common | 80 | 82 | 100 | 83 | 100 | 80 | medium-slow
155 | Cyndaquil | Fire |  | 1 | Common | 39 | 52 | 43 | 60 | 50 | 65 | medium-slow
156 | Quilava | Fire |  | 2 | Common | 58 | 64 | 58 | 80 | 65 | 80 | medium-slow
157 | Typhlosion | Fire |  | 3 | Common | 78 | 84 | 78 | 109 | 85 | 100 | medium-slow
158 | Totodile | Water |  | 1 | Common | 50 | 65 | 64 | 44 | 48 | 43 | medium-slow
159 | Croconaw | Water |  | 2 | Common | 65 | 80 | 80 | 59 | 63 | 58 | medium-slow
160 | Feraligatr | Water |  | 3 | Common | 85 | 105 | 100 | 79 | 83 | 78 | medium-slow
161 | Sentret | Normal |  | 1 | Common | 35 | 46 | 34 | 35 | 45 | 20 | medium
162 | Furret | Normal |  | 2 | Common | 85 | 76 | 64 | 45 | 55 | 90 | medium
163 | Hoothoot | Normal | Flying | 1 | Common | 60 | 30 | 30 | 36 | 56 | 50 | medium
164 | Noctowl | Normal | Flying | 2 | Common | 100 | 50 | 50 | 86 | 96 | 70 | medium
165 | Ledyba | Bug | Flying | 1 | Common | 40 | 20 | 30 | 40 | 80 | 55 | fast
166 | Ledian | Bug | Flying | 2 | Common | 55 | 35 | 50 | 55 | 110 | 85 | fast
167 | Spinarak | Bug | Poison | 1 | Common | 40 | 60 | 40 | 40 | 40 | 30 | fast
168 | Ariados | Bug | Poison | 2 | Common | 70 | 90 | 70 | 60 | 70 | 40 | fast
169 | Crobat | Poison | Flying | 3 | Common | 85 | 90 | 80 | 70 | 80 | 130 | medium
170 | Chinchou | Water | Electric | 1 | Common | 75 | 38 | 38 | 56 | 56 | 67 | slow
171 | Lanturn | Water | Electric | 2 | Common | 125 | 58 | 58 | 76 | 76 | 67 | slow
172 | Pichu | Electric |  | Baby | Common | 20 | 40 | 15 | 35 | 35 | 60 | medium
173 | Cleffa | Fairy |  | Baby | Common | 50 | 25 | 28 | 45 | 55 | 15 | fast
174 | Igglybuff | Normal | Fairy | Baby | Common | 90 | 30 | 15 | 40 | 20 | 15 | fast
175 | Togepi | Fairy |  | Baby | Common | 35 | 20 | 65 | 40 | 65 | 20 | fast
176 | Togetic | Fairy | Flying | 2 | Common | 55 | 40 | 85 | 80 | 105 | 40 | fast
177 | Natu | Psychic | Flying | 1 | Common | 40 | 50 | 45 | 70 | 45 | 70 | medium
178 | Xatu | Psychic | Flying | 2 | Common | 65 | 75 | 70 | 95 | 70 | 95 | medium
179 | Mareep | Electric |  | 1 | Common | 55 | 40 | 40 | 65 | 45 | 35 | medium-slow
180 | Flaaffy | Electric |  | 2 | Common | 70 | 55 | 55 | 80 | 60 | 45 | medium-slow
181 | Ampharos | Electric |  | 3 | Common | 90 | 75 | 85 | 115 | 90 | 55 | medium-slow
182 | Bellossom | Grass |  | 3 | Common | 75 | 80 | 95 | 90 | 100 | 50 | medium-slow
183 | Marill | Water | Fairy | 2 | Common | 70 | 20 | 50 | 20 | 50 | 40 | fast
184 | Azumarill | Water | Fairy | 3 | Common | 100 | 50 | 80 | 60 | 80 | 50 | fast
185 | Sudowoodo | Rock |  | 2 | Common | 70 | 100 | 115 | 30 | 65 | 30 | medium
186 | Politoed | Water |  | 3 | Common | 90 | 75 | 75 | 90 | 100 | 70 | medium-slow
187 | Hoppip | Grass | Flying | 1 | Common | 35 | 35 | 40 | 35 | 55 | 50 | medium-slow
188 | Skiploom | Grass | Flying | 2 | Common | 55 | 45 | 50 | 45 | 65 | 80 | medium-slow
189 | Jumpluff | Grass | Flying | 3 | Common | 75 | 55 | 70 | 55 | 95 | 110 | medium-slow
190 | Aipom | Normal |  | 1 | Common | 55 | 70 | 55 | 40 | 55 | 85 | fast
191 | Sunkern | Grass |  | 1 | Common | 30 | 30 | 30 | 30 | 30 | 30 | medium-slow
192 | Sunflora | Grass |  | 2 | Common | 75 | 75 | 55 | 105 | 85 | 30 | medium-slow
193 | Yanma | Bug | Flying | 1 | Common | 65 | 65 | 45 | 75 | 45 | 95 | medium
194 | Wooper | Water | Ground | 1 | Common | 55 | 45 | 45 | 25 | 25 | 15 | medium
195 | Quagsire | Water | Ground | 2 | Common | 95 | 85 | 85 | 65 | 65 | 35 | medium
196 | Espeon | Psychic |  | 2 | Common | 65 | 65 | 60 | 130 | 95 | 110 | medium
197 | Umbreon | Dark |  | 2 | Common | 95 | 65 | 110 | 60 | 130 | 65 | medium
198 | Murkrow | Dark | Flying | 1 | Common | 60 | 85 | 42 | 85 | 42 | 91 | medium-slow
199 | Slowking | Water | Psychic | 2 | Common | 95 | 75 | 80 | 100 | 110 | 30 | medium
200 | Misdreavus | Ghost |  | 1 | Common | 60 | 60 | 60 | 85 | 85 | 85 | fast
201 | Unown | Psychic |  | 1 | Common | 48 | 72 | 48 | 72 | 48 | 48 | medium
202 | Wobbuffet | Psychic |  | 2 | Common | 190 | 33 | 58 | 33 | 58 | 33 | medium
203 | Girafarig | Normal | Psychic | 1 | Common | 70 | 80 | 65 | 90 | 65 | 85 | medium
204 | Pineco | Bug |  | 1 | Common | 50 | 65 | 90 | 35 | 35 | 15 | medium
205 | Forretress | Bug | Steel | 2 | Common | 75 | 90 | 140 | 60 | 60 | 40 | medium
206 | Dunsparce | Normal |  | 1 | Common | 100 | 70 | 70 | 65 | 65 | 45 | medium
207 | Gligar | Ground | Flying | 1 | Common | 65 | 75 | 105 | 35 | 65 | 85 | medium-slow
208 | Steelix | Steel | Ground | 2 | Common | 75 | 85 | 200 | 55 | 65 | 30 | medium
209 | Snubbull | Fairy |  | 1 | Common | 60 | 80 | 50 | 40 | 40 | 30 | fast
210 | Granbull | Fairy |  | 2 | Common | 90 | 120 | 75 | 60 | 60 | 45 | fast
211 | Qwilfish | Water | Poison | 1 | Common | 65 | 95 | 85 | 55 | 55 | 85 | medium
212 | Scizor | Bug | Steel | 2 | Common | 70 | 130 | 100 | 55 | 80 | 65 | medium
213 | Shuckle | Bug | Rock | 1 | Common | 20 | 10 | 230 | 10 | 230 | 5 | medium-slow
214 | Heracross | Bug | Fighting | 1 | Common | 80 | 125 | 75 | 40 | 95 | 85 | slow
215 | Sneasel | Dark | Ice | 1 | Common | 55 | 95 | 55 | 35 | 75 | 115 | medium-slow
216 | Teddiursa | Normal |  | 1 | Common | 60 | 80 | 50 | 50 | 50 | 40 | medium
217 | Ursaring | Normal |  | 2 | Common | 90 | 130 | 75 | 75 | 75 | 55 | medium
218 | Slugma | Fire |  | 1 | Common | 40 | 40 | 40 | 70 | 40 | 20 | medium
219 | Magcargo | Fire | Rock | 2 | Common | 60 | 50 | 120 | 90 | 80 | 30 | medium
220 | Swinub | Ice | Ground | 1 | Common | 50 | 50 | 40 | 30 | 30 | 50 | slow
221 | Piloswine | Ice | Ground | 2 | Common | 100 | 100 | 80 | 60 | 60 | 50 | slow
222 | Corsola | Water | Rock | 1 | Common | 65 | 55 | 95 | 65 | 95 | 35 | fast
223 | Remoraid | Water |  | 1 | Common | 35 | 65 | 35 | 65 | 35 | 65 | medium
224 | Octillery | Water |  | 2 | Common | 75 | 105 | 75 | 105 | 75 | 45 | medium
225 | Delibird | Ice | Flying | 1 | Common | 45 | 55 | 45 | 65 | 45 | 75 | fast
226 | Mantine | Water | Flying | 2 | Common | 85 | 40 | 70 | 80 | 140 | 70 | slow
227 | Skarmory | Steel | Flying | 1 | Common | 65 | 80 | 140 | 40 | 70 | 70 | slow
228 | Houndour | Dark | Fire | 1 | Common | 45 | 60 | 30 | 80 | 50 | 65 | slow
229 | Houndoom | Dark | Fire | 2 | Common | 75 | 90 | 50 | 110 | 80 | 95 | slow
230 | Kingdra | Water | Dragon | 3 | Common | 75 | 95 | 95 | 95 | 95 | 85 | medium
231 | Phanpy | Ground |  | 1 | Common | 90 | 60 | 60 | 40 | 40 | 40 | medium
232 | Donphan | Ground |  | 2 | Common | 90 | 120 | 120 | 60 | 60 | 50 | medium
233 | Porygon2 | Normal |  | 2 | Common | 85 | 80 | 90 | 105 | 95 | 60 | medium
234 | Stantler | Normal |  | 1 | Common | 73 | 95 | 62 | 85 | 65 | 85 | slow
235 | Smeargle | Normal |  | 1 | Common | 55 | 20 | 35 | 20 | 45 | 75 | fast
236 | Tyrogue | Fighting |  | Baby | Common | 35 | 35 | 35 | 35 | 35 | 35 | medium
237 | Hitmontop | Fighting |  | 2 | Common | 50 | 95 | 95 | 35 | 110 | 70 | medium
238 | Smoochum | Ice | Psychic | Baby | Common | 45 | 30 | 15 | 85 | 65 | 65 | medium
239 | Elekid | Electric |  | Baby | Common | 45 | 63 | 37 | 65 | 55 | 95 | medium
240 | Magby | Fire |  | Baby | Common | 45 | 75 | 37 | 70 | 55 | 83 | medium
241 | Miltank | Normal |  | 1 | Common | 95 | 80 | 105 | 40 | 70 | 100 | slow
242 | Blissey | Normal |  | 3 | Common | 255 | 10 | 10 | 75 | 135 | 55 | fast
243 | Raikou | Electric |  | 1 | Legendary | 90 | 85 | 75 | 115 | 100 | 115 | slow
244 | Entei | Fire |  | 1 | Legendary | 115 | 115 | 85 | 90 | 75 | 100 | slow
245 | Suicune | Water |  | 1 | Legendary | 100 | 75 | 115 | 90 | 115 | 85 | slow
246 | Larvitar | Rock | Ground | 1 | Common | 50 | 64 | 50 | 45 | 50 | 41 | slow
247 | Pupitar | Rock | Ground | 2 | Common | 70 | 84 | 70 | 65 | 70 | 51 | slow
248 | Tyranitar | Rock | Dark | 3 | Common | 100 | 134 | 110 | 95 | 100 | 61 | slow
249 | Lugia | Psychic | Flying | 1 | Legendary | 106 | 90 | 130 | 90 | 154 | 110 | slow
250 | Ho-Oh | Fire | Flying | 1 | Legendary | 106 | 130 | 90 | 110 | 154 | 90 | slow
251 | Celebi | Psychic | Grass | 1 | Mythical | 100 | 100 | 100 | 100 | 100 | 100 | medium-slow
252 | Treecko | Grass |  | 1 | Common | 40 | 45 | 35 | 65 | 55 | 70 | medium-slow
253 | Grovyle | Grass |  | 2 | Common | 50 | 65 | 45 | 85 | 65 | 95 | medium-slow
254 | Sceptile | Grass |  | 3 | Common | 70 | 85 | 65 | 105 | 85 | 120 | medium-slow
255 | Torchic | Fire |  | 1 | Common | 45 | 60 | 40 | 70 | 50 | 45 | medium-slow
256 | Combusken | Fire | Fighting | 2 | Common | 60 | 85 | 60 | 85 | 60 | 55 | medium-slow
257 | Blaziken | Fire | Fighting | 3 | Common | 80 | 120 | 70 | 110 | 70 | 80 | medium-slow
258 | Mudkip | Water |  | 1 | Common | 50 | 70 | 50 | 50 | 50 | 40 | medium-slow
259 | Marshtomp | Water | Ground | 2 | Common | 70 | 85 | 70 | 60 | 70 | 50 | medium-slow
260 | Swampert | Water | Ground | 3 | Common | 100 | 110 | 90 | 85 | 90 | 60 | medium-slow
261 | Poochyena | Dark |  | 1 | Common | 35 | 55 | 35 | 30 | 30 | 35 | medium
262 | Mightyena | Dark |  | 2 | Common | 70 | 90 | 70 | 60 | 60 | 70 | medium
263 | Zigzagoon | Normal |  | 1 | Common | 38 | 30 | 41 | 30 | 41 | 60 | medium
264 | Linoone | Normal |  | 2 | Common | 78 | 70 | 61 | 50 | 61 | 100 | medium
265 | Wurmple | Bug |  | 1 | Common | 45 | 45 | 35 | 20 | 30 | 20 | medium
266 | Silcoon | Bug |  | 2 | Common | 50 | 35 | 55 | 25 | 25 | 15 | medium
267 | Beautifly | Bug | Flying | 3 | Common | 60 | 70 | 50 | 100 | 50 | 65 | medium
268 | Cascoon | Bug |  | 2 | Common | 50 | 35 | 55 | 25 | 25 | 15 | medium
269 | Dustox | Bug | Poison | 3 | Common | 60 | 50 | 70 | 50 | 90 | 65 | medium
270 | Lotad | Water | Grass | 1 | Common | 40 | 30 | 30 | 40 | 50 | 30 | medium-slow
271 | Lombre | Water | Grass | 2 | Common | 60 | 50 | 50 | 60 | 70 | 50 | medium-slow
