# Pokemon Insurgence Item Data (generated by generate_data_from_game.py)
# ID | SourceID | Name | Pocket | Price | Description | FieldUse | BattleUse | ItemType | MoveID | MachineType | MachineCategory
3 | 1 | Repel | Items | 350 | An item that prevents weak wild Pokémon from appearing for 100 steps after its use. | Use from bag | Not usable in battle | Regular | 0 | 100 | 101
91 | 45 | Star Piece | Items | 9800 | A shard of a pretty gem that sparkles in a red color. It can be sold at a high price to shops. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
93 | 46 | Comet Shard | Items | 120000 | A shard which fell to the ground when a comet approached. A maniac will buy it for a high price. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
95 | 47 | Nugget | Items | 10000 | A nugget of pure gold that gives off a lustrous gleam. It can be sold at a high price to shops. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
97 | 48 | Big Nugget | Items | 60000 | A big nugget of pure gold that gives off a lustrous gleam. A maniac will buy it for a high price. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
99 | 49 | Heart Scale | Items | 100 | A pretty, heart-shaped scale that is extremely rare. It glows faintly in the colors of the rainbow. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
101 | 50 | Slowpoketail | Items | 9800 | A very tasty tail of something. It sells for a high price. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
103 | 51 | Rare Bone | Items | 10000 | A bone that is extremely valuable for Pokémon archaeology. It can be sold for a high price to shops. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
105 | 52 | Relic Copper | Items | 2000 | A copper coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
107 | 53 | Relic Silver | Items | 10000 | A silver coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
109 | 54 | Relic Gold | Items | 20000 | A gold coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
111 | 55 | Relic Vase | Items | 100000 | A vase made in a civilization about 3,000 years ago. A maniac will buy it for a high price. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
113 | 56 | Relic Band | Items | 200000 | A bracelet made in a civilization about 3,000 years ago. A maniac will buy it for a high price. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
115 | 57 | Relic Statue | Items | 400000 | A stone figure made in a civilization about 3,000 years ago. A maniac will buy it for a high price. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
117 | 58 | Relic Crown | Items | 600000 | A crown made in a civilization about 3,000 years ago. A maniac will buy it for a high price. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
119 | 59 | Growth Mulch | Items | 200 | A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
121 | 60 | Damp Mulch | Items | 200 | A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
123 | 61 | Stable Mulch | Items | 200 | A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
125 | 62 | Gooey Mulch | Items | 200 | A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
127 | 63 | Shoal Salt | Items | 20 | Pure salt that can be discovered deep inside the Shoal Cave. A maniac will buy it for a high price. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
129 | 64 | Shoal Shell | Items | 20 | A pretty seashell that can be found deep inside the Shoal Cave. A maniac will buy it for a high price. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
131 | 65 | Odd Keystone | Items | 2100 | A vital item that is needed to keep a stone tower from collapsing. Voices can be heard from it occasionally. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
133 | 66 | Air Balloon | Items | 200 | When held by a Pokémon, the Pokémon will float into the air. When the holder is attacked, this item will burst. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
135 | 67 | Bright Powder | Items | 10 | An item to be held by a Pokémon. It casts a tricky glare that lowers the opponent's accuracy. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
137 | 68 | Eviolite | Items | 200 | A mysterious evolutionary lump. When held, it raises the Defense and Sp. Def of a Pokémon that can still evolve. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
139 | 69 | Float Stone | Items | 200 | A very light stone. It reduces the weight of a Pokémon when held. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
141 | 70 | Destiny Knot | Items | 200 | A long, thin, bright-red string to be held by a Pokémon. If the holder becomes infatuated, the foe does too. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
143 | 71 | Rocky Helmet | Items | 200 | If the holder of this item takes damage, the attacker will also be damaged upon contact. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
145 | 72 | Eject Button | Items | 200 | If the holder is hit by an attack, it will switch with another Pokémon in your party. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
147 | 73 | Red Card | Items | 200 | A card with a mysterious power. When the holder is struck by a foe, the attacker is removed from battle. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
149 | 74 | Shed Shell | Items | 100 | A tough, discarded carapace to be held by a Pokémon. It enables the holder to switch with a waiting Pokémon in battle. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
151 | 75 | Smoke Ball | Items | 200 | An item to be held by a Pokémon. It enables the holder to flee from any wild Pokémon without fail. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
153 | 76 | Lucky Egg | Items | 5000 | An item to be held by a Pokémon. It is an egg filled with happiness that earns extra Exp. Points in battle. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
155 | 77 | Exp. Share | Items | 3000 | An item to be held by a Pokémon. The holder gets a share of a battle's Exp. Points without battling. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
157 | 78 | Amulet Coin | Items | 100 | An item to be held by a Pokémon. It doubles a battle's prize money if the holding Pokémon joins in. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
159 | 79 | Soothe Bell | Items | 100 | An item to be held by a Pokémon. It is a bell with a comforting chime that calms the holder and makes it friendly. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
161 | 80 | Cleanse Tag | Items | 200 | An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the first one in the party. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
163 | 81 | Choice Band | Items | 100 | An item to be held by a Pokémon. This headband ups Attack, but allows the use of only one of its moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
165 | 82 | Choice Specs | Items | 200 | An item to be held by a Pokémon. These distinctive glasses boost Sp. Atk, but allow the use of only one of its moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
167 | 83 | Choice Scarf | Items | 200 | An item to be held by a Pokémon. This scarf boosts Speed, but allows the use of only one of its moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
169 | 84 | Heat Rock | Items | 200 | A Pokémon held item that extends the duration of the move Sunny Day used by the holder. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
171 | 85 | Damp Rock | Items | 200 | A Pokémon held item that extends the duration of the move Rain Dance used by the holder. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
173 | 86 | Smooth Rock | Items | 200 | A Pokémon held item that extends the duration of the move Sandstorm used by the holder. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
175 | 87 | Icy Rock | Items | 200 | A Pokémon held item that extends the duration of the move Hail used by the holder. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
177 | 88 | Light Clay | Items | 200 | A Pokémon held item that extends the duration of barrier moves like Light Screen and Reflect used by the holder. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
179 | 89 | Grip Claw | Items | 200 | A Pokémon held item that extends the duration of multiturn attacks like Bind and Wrap. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
181 | 90 | Binding Band | Items | 200 | A band that increases the power of binding moves when held. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
183 | 91 | Big Root | Items | 200 | A Pokémon held item that boosts the power of HP-stealing moves to let the holder recover more HP. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
185 | 92 | Black Sludge | Items | 200 | A held item that gradually restores the HP of Poison-type Pokémon. It inflicts damage on all other types. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
187 | 93 | Leftovers | Items | 200 | An item to be held by a Pokémon. The holder's HP is gradually restored during battle. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
189 | 94 | Shell Bell | Items | 200 | An item to be held by a Pokémon. The holder's HP is restored a little every time it inflicts damage. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
191 | 95 | Mental Herb | Items | 100 | An item to be held by a Pokémon. It snaps the holder out of infatuation. It can be used only once. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
193 | 96 | White Herb | Items | 100 | An item to be held by a Pokémon. It restores any lowered stat in battle. It can be used only once. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
195 | 97 | Power Herb | Items | 100 | A single-use item to be held by a Pokémon. It allows the immediate use of a move that charges on the first turn. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
197 | 98 | Absorb Bulb | Items | 200 | A consumable bulb. If the holder is hit by a Water-type move, its Sp. Atk will rise. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
199 | 99 | Cell Battery | Items | 200 | A consumable battery. If the holder is hit by an Electric-type move, its Attack will rise. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
201 | 100 | Life Orb | Items | 200 | An item to be held by a Pokémon. It boosts the power of moves, but at the cost of some HP on each hit. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
203 | 101 | Expert Belt | Items | 200 | An item to be held by a Pokémon. It is a well-worn belt that slightly boosts the power of supereffective moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
205 | 102 | Metronome | Items | 200 | A Pokémon held item that boosts a move used consecutively. Its effect is reset if another move is used. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
207 | 103 | Muscle Band | Items | 200 | An item to be held by a Pokémon. It is a headband that slightly boosts the power of physical moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
209 | 104 | Wise Glasses | Items | 200 | An item to be held by a Pokémon. It is a thick pair of glasses that slightly boosts the power of special moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
211 | 105 | Razor Claw | Items | 2100 | An item to be held by a Pokémon. It is a sharply hooked claw that ups the holder's critical-hit ratio. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
213 | 106 | Scope Lens | Items | 200 | An item to be held by a Pokémon. It is a lens that boosts the holder's critical-hit ratio. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
215 | 107 | Wide Lens | Items | 200 | An item to be held by a Pokémon. It is a magnifying lens that slightly boosts the accuracy of moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
217 | 108 | Zoom Lens | Items | 200 | An item to be held by a Pokémon. If the holder moves after its target, its accuracy will be boosted. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
219 | 109 | King's Rock | Items | 100 | An item to be held by a Pokémon. When the holder inflicts damage, the target may flinch. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
221 | 110 | Razor Fang | Items | 2100 | An item to be held by a Pokémon. It may make foes and allies flinch when the holder inflicts damage. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
223 | 111 | Lagging Tail | Items | 200 | An item to be held by a Pokémon. It is tremendously heavy and makes the holder move slower than usual. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
225 | 112 | Quick Claw | Items | 100 | An item to be held by a Pokémon. A light, sharp claw that lets the bearer move first occasionally. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
227 | 113 | Focus Band | Items | 200 | An item to be held by a Pokémon. The holder may endure a potential KO attack, leaving it with just 1 HP. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
229 | 114 | Focus Sash | Items | 200 | An item to be held by a Pokémon. If it has full HP, the holder will endure one potential KO attack, leaving 1 HP. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
231 | 115 | Flame Orb | Items | 100 | An item to be held by a Pokémon. It is a bizarre orb that inflicts a burn on the holder in battle. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
233 | 116 | Toxic Orb | Items | 100 | An item to be held by a Pokémon. It is a bizarre orb that badly poisons the holder in battle. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
235 | 117 | Sticky Barb | Items | 200 | A held item that damages the holder on every turn. It may latch on to foes and allies that touch the holder. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
237 | 118 | Iron Ball | Items | 200 | A Pokémon held item that cuts Speed. It makes Flying-type and levitating holders susceptible to Ground moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
239 | 119 | Ring Target | Items | 200 | Moves that would otherwise have no effect will land on the Pokémon that holds it. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
241 | 120 | Macho Brace | Items | 3000 | An item to be held by a Pokémon. It is a stiff and heavy brace that promotes strong growth but lowers Speed. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
243 | 121 | Power Weight | Items | 3000 | A Pokémon held item that promotes HP gain on leveling, but reduces the Speed stat. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
245 | 122 | Power Bracer | Items | 3000 | A Pokémon held item that promotes Attack gain on leveling, but reduces the Speed stat. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
247 | 123 | Power Belt | Items | 3000 | A Pokémon held item that promotes Defense gain on leveling, but reduces the Speed stat. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
249 | 124 | Power Lens | Items | 3000 | A Pokémon held item that promotes Sp. Atk gain on leveling, but reduces the Speed stat. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
251 | 125 | Power Band | Items | 3000 | A Pokémon held item that promotes Sp. Def gain on leveling, but reduces the Speed stat. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
253 | 126 | Power Anklet | Items | 3000 | A Pokémon held item that promotes Speed gain on leveling, but reduces the Speed stat. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
255 | 127 | Lax Incense | Items | 9600 | An item to be held by a Pokémon. The tricky aroma of this incense may make attacks miss the holder. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
257 | 128 | Full Incense | Items | 9600 | An item to be held by a Pokémon. It is an exotic-smelling incense that makes the holder bloated and slow moving. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
259 | 129 | Luck Incense | Items | 9600 | An item to be held by a Pokémon. It doubles a battle's prize money if the holding Pokémon joins in. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
261 | 130 | Pure Incense | Items | 9600 | An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the first one in the party. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
263 | 131 | Sea Incense | Items | 9600 | An item to be held by a Pokémon. It is incense with a curious aroma that boosts the power of Water-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
265 | 132 | Wave Incense | Items | 9600 | An item to be held by a Pokémon. It is incense with a curious aroma that boosts the power of Water-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
267 | 133 | Rose Incense | Items | 9600 | An item to be held by a Pokémon. It is an exotic-smelling incense that boosts the power of Grass-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
269 | 134 | Odd Incense | Items | 9600 | An item to be held by a Pokémon. It is an exotic-smelling incense that boosts the power of Psychic-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
271 | 135 | Rock Incense | Items | 9600 | An item to be held by a Pokémon. It is an exotic-smelling incense that boosts the power of Rock-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
273 | 136 | Charcoal | Items | 2000 | An item to be held by a Pokémon. It is a combustible fuel that boosts the power of Fire-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
275 | 137 | Mystic Water | Items | 2000 | An item to be held by a Pokémon. It is a teardrop-shaped gem that ups the power of Water-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
277 | 138 | Magnet | Items | 2000 | An item to be held by a Pokémon. It is a powerful magnet that boosts the power of Electric-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
279 | 139 | Miracle Seed | Items | 2000 | An item to be held by a Pokémon. It is a seed imbued with life that ups the power of Grass-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
281 | 140 | Never-Melt Ice | Items | 2000 | An item to be held by a Pokémon. It is a piece of ice that repels heat and boosts Ice-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
283 | 141 | Black Belt | Items | 2000 | An item to be held by a Pokémon. It is a belt that boosts determination and Fighting-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
285 | 142 | Poison Barb | Items | 2000 | An item to be held by a Pokémon. It is a small, poisonous barb that ups the power of Poison-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
287 | 143 | Soft Sand | Items | 2000 | An item to be held by a Pokémon. It is a loose, silky sand that boosts the power of Ground-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
289 | 144 | Sharp Beak | Items | 2000 | An item to be held by a Pokémon. It is a long, sharp beak that boosts the power of Flying-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
291 | 145 | Twisted Spoon | Items | 2000 | An item to be held by a Pokémon. It is a spoon imbued with telekinetic power that boosts Psychic-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
293 | 146 | Silver Powder | Items | 2000 | An item to be held by a Pokémon. It is a shiny, silver powder that ups the power of Bug-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
295 | 147 | Hard Stone | Items | 2000 | An item to be held by a Pokémon. It is an unbreakable stone that ups the power of Rock-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
297 | 148 | Spell Tag | Items | 2000 | An item to be held by a Pokémon. It is a sinister, eerie tag that boosts the power of Ghost-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
299 | 149 | Dragon Fang | Items | 2000 | An item to be held by a Pokémon. It is a hard and sharp fang that ups the power of Dragon-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
301 | 150 | Black Glasses | Items | 2000 | An item to be held by a Pokémon. It is a shady-looking pair of glasses that boosts Dark-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
303 | 151 | Metal Coat | Items | 2000 | An item to be held by a Pokémon. It is a special metallic film that ups the power of Steel-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
305 | 152 | Silk Scarf | Items | 2000 | An item to be held by a Pokémon. It is a sumptuous scarf that boosts the power of Normal-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
307 | 153 | Flame Plate | Items | 1000 | An item to be held by a Pokémon. It is a stone tablet that boosts the power of Fire-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
309 | 154 | Splash Plate | Items | 1000 | An item to be held by a Pokémon. It is a stone tablet that boosts the power of Water-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
