# Pokemon Insurgence Form Overrides (generated by generate_pokemon_data.py)
# SpeciesID | FormID | HP Atk Def SpA SpD Spe | level:move_id ...
354 | 1 | 64 165 75 93 83 75 | -
359 | 1 | 65 150 60 115 60 115 | -
362 | 1 | 80 120 80 120 80 100 | -
373 | 1 | 95 145 130 120 90 120 | -
376 | 1 | 80 145 150 105 110 110 | -
380 | 1 | 80 100 120 140 150 110 | -
381 | 1 | 80 130 100 160 120 110 | -
382 | 1 | 100 150 90 180 160 90 | -
383 | 1 | 100 180 160 150 90 90 | -
384 | 1 | 105 180 100 180 100 115 | -
385 | 1 | 100 130 115 130 115 110 | -
386 | 1 | 50 180 20 180 20 150 | 1:374 1:325 9:183 17:497 25:49 33:33 41:452 49:88 57:491 65:455 73:471 81:67 89:448 97:263
386 | 2 | 50 70 160 70 160 90 | 1:374 1:325 9:183 17:497 25:35 33:239 41:452 49:47 57:491 65:455 73:531 73:468 81:393 89:448 97:115 97:463
386 | 3 | 50 95 90 95 90 180 | 1:374 1:325 9:183 17:359 25:35 33:33 41:452 49:299 57:491 65:455 73:466 81:393 89:448 97:278
413 | 1 | 60 79 105 59 85 36 | 1:303 10:391 15:8 20:333 23:462 26:511 29:370 32:460 35:352 38:330 41:346 44:452 47:235
413 | 2 | 60 69 95 69 95 36 | 1:303 10:391 15:8 20:333 23:462 26:522 29:532 32:460 35:352 38:330 41:346 44:452 47:520
428 | 1 | 65 136 94 54 96 134 | -
441 | 1 | 76 65 55 147 52 116 | -
442 | 1 | 50 142 128 133 112 20 | -
445 | 1 | 108 170 115 120 95 92 | -
448 | 1 | 70 145 88 140 70 112 | -
448 | 2 | - | 1:278 1:56 1:86 1:93 1:366 1:310 1:121 1:525 6:115 11:314 15:706 19:418 24:532 29:233 33:122 37:378 42:93 47:470 51:476 55:86 60:56 65:278 100:740
448 | 3 | 70 145 88 140 70 112 | 1:278 1:56 1:86 1:93 1:366 1:310 1:121 1:525 6:115 11:314 15:706 19:418 24:532 29:233 33:122 37:378 42:93 47:470 51:476 55:86 60:56 65:278 100:740
460 | 1 | 90 132 105 132 105 30 | -
475 | 1 | 68 165 95 65 115 110 | -
478 | 1 | 70 80 85 120 105 120 | -
479 | 1 | 50 65 107 105 107 86 | -
479 | 2 | 50 65 107 105 107 86 | -
479 | 3 | 50 65 107 105 107 86 | -
479 | 4 | 50 65 107 105 107 86 | -
479 | 5 | 50 65 107 105 107 86 | -
486 | 1 | 110 195 140 95 130 100 | -
487 | 1 | 150 120 100 120 100 90 | -
487 | 2 | 150 135 135 135 135 130 | -
492 | 1 | 100 103 75 120 75 127 | 1:369 10:203 19:217 28:310 37:417 46:335 55:222 64:159 73:198 82:416 91:191 100:194
493 | 19 | 120 150 130 150 130 140 | -
523 | 1 | 75 100 63 135 83 141 | -
531 | 1 | 103 60 126 80 126 50 | -
542 | 1 | 75 103 104 70 104 92 | -
555 | 1 | 105 30 105 140 105 55 | -
571 | 1 | 60 130 60 145 90 125 | -
576 | 1 | 70 55 125 125 150 65 | -
579 | 1 | 110 85 65 160 90 80 | -
612 | 1 | 76 182 130 80 90 82 | -
615 | 1 | 70 50 65 115 150 135 | -
618 | 1 | 109 76 104 91 134 57 | -
635 | 1 | 92 130 105 170 105 98 | -
641 | 1 | 79 100 80 110 90 121 | -
642 | 1 | 79 105 70 145 80 101 | -
644 | 1 | 100 150 156 120 130 90 | -
645 | 1 | 89 145 90 105 80 71 | -
646 | 1 | 125 120 90 170 100 95 | 1:250 1:62 8:480 15:506 22:243 29:59 36:293 43:131 50:241 57:56 64:480 71:329 78:242 85:53 92:272
646 | 2 | 125 170 100 120 90 95 | 1:250 1:62 8:480 15:506 22:243 29:59 36:293 43:68 50:240 57:56 64:480 71:329 78:242 85:53 92:272
648 | 1 | 100 128 90 77 77 128 | -
670 | 1 | - | 1:303 1:208 6:678 10:377 15:205 20:424 22:203 24:679 28:682 33:212 37:680 41:627 45:192 48:195 50:735
681 | 1 | 60 150 50 150 50 60 | -
718 | 1 | 54 100 71 61 85 115 | -
718 | 2 | 216 100 121 91 95 85 | -
719 | 1 | 50 160 110 160 110 110 | -
720 | 1 | 80 160 60 170 130 80 | 1:727 1:498 1:186 1:467 1:462 6:181 10:484 16:482 19:460 25:495 29:488 29:473 46:35 50:500 50:499 55:25 75:452 85:727
729 | 1 | 80 100 123 122 120 80 | -
732 | 1 | 78 104 78 159 119 100 | -
735 | 1 | 79 103 120 135 115 78 | -
737 | 1 | 65 145 130 60 85 105 | -
740 | 1 | 68 85 65 165 135 100 | -
741 | 1 | 68 165 95 65 115 110 | -
747 | 1 | 70 150 140 65 100 75 | -
759 | 1 | 80 120 80 120 80 100 | -
760 | 1 | 70 80 85 120 105 120 | -
781 | 1 | 78 89 88 159 110 110 | -
781 | 2 | 78 89 88 159 110 110 | -
799 | 1 | 83 80 80 135 80 121 | -
830 | 1 | 70 80 95 130 95 85 | -
847 | 1 | 50 85 125 85 115 20 | -
848 | 1 | 50 105 125 55 95 50 | -
853 | 1 | 60 100 85 80 85 100 | -
855 | 1 | 70 120 110 145 105 20 | -
861 | 1 | 95 70 109 130 155 81 | -
867 | 1 | 80 145 150 105 110 110 | -
870 | 1 | 80 145 150 105 110 110 | -
872 | 1 | 65 136 94 54 96 134 | -
874 | 1 | 70 145 88 140 70 112 | -
924 | 1 | 80 160 60 170 130 80 | 1:729 1:173 1:169 1:259 1:167 6:678 10:250 16:398 19:166 25:281 29:466 46:654 50:171 55:641 75:154 85:729
