# Pokemon Insurgence Move Data  (generated by generate_data_from_game.py)
# Uses game-internal IDs — these are the @id values stored in save files
# ID | Name | Type | Category | PP | Power | Accuracy | Description
1 | Megahorn | Bug | Physical | 10 | 120 | 85 | Using its tough and impressive horn, the user rams into the target with no letup.
27 | Night Slash | Dark | Physical | 15 | 70 | 100 | The user slashes the target the instant an opportunity arises. Critical hits land more easily.
28 | Bite | Dark | Physical | 25 | 60 | 100 | The target is bitten with viciously sharp fangs. It may make the target flinch.
29 | Feint Attack | Dark | Physical | 20 | 60 | 0 | The user approaches the target disarmingly, then throws a sucker punch. It hits without fail.
30 | Snarl | Dark | Special | 15 | 55 | 95 | The user yells as if it is ranting about something, making the target's Sp. Atk stat decrease.
31 | Assurance | Dark | Physical | 10 | 60 | 100 | If the target has already taken some damage in the same turn, this attack's power is doubled.
32 | Payback | Dark | Physical | 10 | 50 | 100 | If the user moves after the target, this attack's power will be doubled.
33 | Pursuit | Dark | Physical | 20 | 40 | 100 | An attack move that inflicts double damage if used on a target that is switching out of battle.
34 | Thief | Dark | Physical | 25 | 60 | 100 | The user attacks and steals the target's held item simultaneously. It can't steal if the user holds an item.
35 | Knock Off | Dark | Physical | 20 | 65 | 100 | The user slaps down the target's held item, preventing that item from being used in the battle.
36 | Beat Up | Dark | Physical | 10 | 1 | 100 | The user gets all party Pokémon to attack the target. The more party Pokémon, the greater the number of attacks.
37 | Fling | Dark | Physical | 10 | 1 | 100 | The user flings its held item at the target to attack. Its power and effects depend on the item.
38 | Punishment | Dark | Physical | 5 | 1 | 100 | This attack's power increases the more the target has powered up with stat changes.
39 | Dark Void | Dark | Status | 10 | 0 | 80 | Opposing Pokémon are dragged into a world of total darkness that makes them sleep.
40 | Embargo | Dark | Status | 15 | 0 | 100 | It prevents the target from using its held item. Its Trainer is also prevented from using items on it.
41 | Fake Tears | Dark | Status | 20 | 0 | 100 | The user feigns crying to fluster the target, harshly lowering its Sp. Def stat.
42 | Flatter | Dark | Status | 15 | 0 | 100 | Flattery is used to confuse the target. However, it also raises the target's Sp. Atk stat.
43 | Hone Claws | Dark | Status | 15 | 0 | 0 | The user sharpens its claws to boost its Attack stat and accuracy.
44 | Memento | Dark | Status | 10 | 0 | 100 | The user faints when using this move. In return, it harshly lowers the target's Attack and Sp. Atk.
45 | Nasty Plot | Dark | Status | 20 | 0 | 0 | The user stimulates its brain by thinking bad thoughts. It sharply raises the user's Sp. Atk.
46 | Quash | Dark | Status | 15 | 0 | 100 | The user suppresses the target and makes its move go last.
47 | Snatch | Dark | Status | 10 | 0 | 0 | The user steals the effects of any healing or stat-changing move the opponent attempts to use.
48 | Switcheroo | Dark | Status | 10 | 0 | 100 | The user trades held items with the target faster than the eye can follow.
49 | Taunt | Dark | Status | 20 | 0 | 100 | The target is taunted into a rage that allows it to use only attack moves for three turns.
50 | Torment | Dark | Status | 15 | 0 | 100 | The user torments and enrages the target, making it incapable of using the same move twice in a row.
51 | Roar of Time | Dragon | Special | 5 | 150 | 90 | The user blasts the target with power that distorts even time. The user must rest on the next turn.
52 | Draco Meteor | Dragon | Special | 5 | 130 | 90 | Comets are summoned down from the sky onto the target. The attack's recoil harshly reduces the user's Sp. Atk stat.
53 | Outrage | Dragon | Physical | 15 | 120 | 100 | The user rampages and attacks for two to three turns. It then becomes confused, however.
54 | Dragon Rush | Dragon | Physical | 10 | 100 | 75 | The user tackles the target while exhibiting overwhelming menace. It may also make the target flinch.
55 | Spacial Rend | Dragon | Special | 5 | 100 | 95 | The user tears the target along with the space around it. Critical hits land more easily.
56 | Dragon Pulse | Dragon | Special | 10 | 85 | 100 | The target is attacked with a shock wave generated by the user's gaping mouth.
57 | Dragon Claw | Dragon | Physical | 15 | 80 | 100 | The user slashes the target with huge, sharp claws.
58 | Dragon Tail | Dragon | Physical | 10 | 60 | 90 | The user knocks away the target and drags out another Pokémon in its party. In the wild, the battle ends.
59 | Dragon Breath | Dragon | Special | 20 | 60 | 100 | The user exhales a mighty gust that inflicts damage. It may also leave the target with paralysis.
60 | Dual Chop | Dragon | Physical | 15 | 40 | 90 | The user attacks its target by hitting it with brutal strikes. The target is hit twice in a row.
61 | Twister | Dragon | Special | 20 | 40 | 100 | The user whips up a vicious tornado to tear at the opposing team. It may also make targets flinch.
62 | Dragon Rage | Dragon | Special | 10 | 1 | 100 | This attack hits the target with a shock wave of pure rage. This attack always inflicts 40 HP damage.
63 | Dragon Dance | Dragon | Status | 20 | 0 | 0 | The user vigorously performs a mystic, powerful dance that boosts its Attack and Speed stats.
64 | Bolt Strike | Electric | Physical | 5 | 130 | 85 | The user charges its target, surrounding itself with a great amount of electricity. It may leave the target with paralysis.
65 | Thunder | Electric | Special | 10 | 110 | 70 | A wicked thunderbolt is dropped on the target to inflict damage. It may also leave the target with paralysis.
66 | Volt Tackle | Electric | Physical | 15 | 120 | 100 | The user electrifies itself, then charges. It causes considerable damage to the user and may leave the target with paralysis.
67 | Zap Cannon | Electric | Special | 5 | 120 | 50 | The user fires an electric blast like a cannon to inflict damage and cause paralysis.
68 | Fusion Bolt | Electric | Physical | 5 | 100 | 100 | The user throws down a giant thunderbolt. This attack does greater damage when influenced by an enormous flame.
69 | Thunderbolt | Electric | Special | 15 | 90 | 100 | A strong electric blast is loosed at the target. It may also leave the target with paralysis.
70 | Wild Charge | Electric | Physical | 15 | 90 | 100 | The user shrouds itself in electricity and smashes into its target. It also damages the user a little.
71 | Discharge | Electric | Special | 15 | 80 | 100 | A flare of electricity is loosed to strike the area around the user. It may also cause paralysis.
72 | Thunder Punch | Electric | Physical | 15 | 75 | 100 | The target is punched with an electrified fist. It may also leave the target with paralysis.
73 | Volt Switch | Electric | Special | 20 | 70 | 100 | After making its attack, the user rushes back to switch places with a party Pokémon in waiting.
74 | Spark | Electric | Physical | 20 | 65 | 100 | The user throws an electrically charged tackle at the target. It may also leave the target with paralysis.
75 | Thunder Fang | Electric | Physical | 15 | 65 | 95 | The user bites with electrified fangs. It may also make the target flinch or leave it with paralysis.
76 | Shock Wave | Electric | Special | 20 | 60 | 0 | The user strikes the target with a quick jolt of electricity. This attack cannot be evaded.
77 | Electroweb | Electric | Special | 15 | 55 | 95 | The user captures and attacks opposing Pokémon by using an electric net. It reduces the targets' Speed stat.
78 | Charge Beam | Electric | Special | 10 | 50 | 90 | The user attacks with an electric charge. The user may use any remaining electricity to raise its Sp. Atk stat.
79 | Thunder Shock | Electric | Special | 30 | 40 | 100 | A jolt of electricity is hurled at the target to inflict damage. It may also leave the target with paralysis.
80 | Electro Ball | Electric | Special | 10 | 1 | 100 | The user hurls an electric orb at the target. The faster the user is than the target, the greater the damage.
81 | Charge | Electric | Status | 20 | 0 | 0 | The user boosts the power of the Electric move it uses on the next turn. It also raises the user's Sp. Def stat.
82 | Magnet Rise | Electric | Status | 10 | 0 | 0 | The user levitates using electrically generated magnetism for five turns.
83 | Thunder Wave | Electric | Status | 20 | 0 | 100 | A weak electric charge is launched at the target. It causes paralysis if it hits.
84 | Focus Punch | Fighting | Physical | 20 | 150 | 100 | The user focuses its mind before launching a punch. It will fail if the user is hit before it is used.
85 | High Jump Kick | Fighting | Physical | 10 | 130 | 90 | The target is attacked with a knee kick from a jump. If it misses, the user is hurt instead.
86 | Close Combat | Fighting | Physical | 5 | 120 | 100 | The user fights the target up close without guarding itself. It also cuts the user's Defense and Sp. Def.
87 | Focus Blast | Fighting | Special | 5 | 120 | 70 | The user heightens its mental focus and unleashes its power. It may also lower the target's Sp. Def.
88 | Superpower | Fighting | Physical | 5 | 120 | 100 | The user attacks the target with great power. However, it also lowers the user's Attack and Defense.
89 | Cross Chop | Fighting | Physical | 5 | 100 | 80 | The user delivers a double chop with its forearms crossed. Critical hits land more easily.
90 | Dynamic Punch | Fighting | Physical | 5 | 100 | 50 | The user punches the target with full, concentrated power. It confuses the target if it hits.
91 | Hammer Arm | Fighting | Physical | 10 | 100 | 90 | The user swings and hits with its strong and heavy fist. It lowers the user's Speed, however.
92 | Jump Kick | Fighting | Physical | 10 | 100 | 95 | The user jumps up high, then strikes with a kick. If the kick misses, the user hurts itself.
93 | Aura Sphere | Fighting | Special | 20 | 80 | 0 | The user looses a blast of aura power from deep within its body at the target. This move is certain to hit.
94 | Sacred Sword | Fighting | Physical | 15 | 90 | 100 | The user attacks by slicing with its long horns. The target's stat changes don't affect this attack's damage.
95 | Secret Sword | Fighting | Special | 10 | 85 | 100 | The user cuts with its long horn. The odd power contained in the horn does physical damage to the target.
96 | Sky Uppercut | Fighting | Physical | 15 | 85 | 90 | The user attacks the target with an uppercut thrown skyward with force.
97 | Submission | Fighting | Physical | 25 | 80 | 80 | The user grabs the target and recklessly dives for the ground. It also hurts the user slightly.
98 | Brick Break | Fighting | Physical | 15 | 75 | 100 | The user attacks with a swift chop. It can also break any barrier such as Light Screen and Reflect.
99 | Drain Punch | Fighting | Physical | 10 | 75 | 100 | An energy-draining punch. The user's HP is restored by half the damage taken by the target.
100 | Vital Throw | Fighting | Physical | 10 | 70 | 0 | The user attacks last. In return, this throw move is guaranteed not to miss.
101 | Circle Throw | Fighting | Physical | 10 | 60 | 90 | The user throws the target and drags out another Pokémon in its party. In the wild, the battle ends.
102 | Force Palm | Fighting | Physical | 10 | 60 | 100 | The target is attacked with a shock wave. It may also leave the target with paralysis.
103 | Low Sweep | Fighting | Physical | 20 | 65 | 100 | The user attacks the target's legs swiftly, reducing the target's Speed stat.
104 | Revenge | Fighting | Physical | 10 | 60 | 100 | An attack move that inflicts double the damage if the user has been hurt by the opponent in the same turn.
105 | Rolling Kick | Fighting | Physical | 15 | 60 | 85 | The user lashes out with a quick, spinning kick. It may also make the target flinch.
106 | Wake-Up Slap | Fighting | Physical | 10 | 70 | 100 | This attack inflicts big damage on a sleeping target. It also wakes the target up, however.
107 | Karate Chop | Fighting | Physical | 25 | 50 | 100 | The target is attacked with a sharp chop. Critical hits land more easily.
108 | Mach Punch | Fighting | Physical | 30 | 40 | 100 | The user throws a punch at blinding speed. It is certain to strike first.
109 | Rock Smash | Fighting | Physical | 15 | 40 | 100 | The user attacks with a punch that can shatter a rock. It may also lower the target's Defense stat.
110 | Storm Throw | Fighting | Physical | 10 | 60 | 100 | The user strikes the target with a fierce blow. This attack always results in a critical hit.
111 | Vacuum Wave | Fighting | Special | 30 | 40 | 100 | The user whirls its fists to send a wave of pure vacuum at the target. This move always goes first.
112 | Double Kick | Fighting | Physical | 30 | 30 | 100 | The target is quickly kicked twice in succession using both feet.
113 | Arm Thrust | Fighting | Physical | 20 | 15 | 100 | The user looses a flurry of open-palmed arm thrusts that hit two to five times in a row.
114 | Triple Kick | Fighting | Physical | 10 | 10 | 90 | A consecutive three-kick attack that becomes more powerful with each successive hit.
115 | Counter | Fighting | Physical | 20 | 1 | 100 | A retaliation move that counters any physical attack, inflicting double the damage taken.
116 | Final Gambit | Fighting | Special | 5 | 1 | 100 | The user risks everything to attack its target. The user faints but does damage equal to the user's HP.
117 | Low Kick | Fighting | Physical | 20 | 1 | 100 | A powerful low kick that makes the target fall over. It inflicts greater damage on heavier targets.
118 | Reversal | Fighting | Physical | 15 | 1 | 100 | An all-out attack that becomes more powerful the less HP the user has.
119 | Seismic Toss | Fighting | Physical | 20 | 1 | 100 | The target is thrown using the power of gravity. It inflicts damage equal to the user's level.
120 | Bulk Up | Fighting | Status | 20 | 0 | 0 | The user tenses its muscles to bulk up its body, boosting both its Attack and Defense stats.
121 | Detect | Fighting | Status | 5 | 0 | 0 | It enables the user to evade all attacks. Its chance of failing rises if it is used in succession.
122 | Quick Guard | Fighting | Status | 15 | 0 | 0 | The user protects itself and its allies from priority moves.
123 | V-create | Fire | Physical | 5 | 180 | 95 | With a hot flame on its forehead, the user hurls itself at its target. It lowers the user's Defense, Sp. Def, and Speed stats.
124 | Blast Burn | Fire | Special | 5 | 150 | 90 | The target is razed by a fiery explosion. The user must rest on the next turn, however.
125 | Eruption | Fire | Special | 5 | 150 | 100 | The user attacks the opposing team with explosive fury. The lower the user's HP, the less powerful this attack becomes.
126 | Overheat | Fire | Special | 5 | 130 | 90 | The user attacks the target at full power. The attack's recoil sharply reduces the user's Sp. Atk stat.
127 | Blue Flare | Fire | Special | 5 | 130 | 85 | The user attacks by engulfing the target in an intense, yet beautiful, blue flame. It may leave the target with a burn.
128 | Fire Blast | Fire | Special | 5 | 110 | 85 | The target is attacked with an intense blast of all-consuming fire. It may also leave the target with a burn.
129 | Flare Blitz | Fire | Physical | 15 | 120 | 100 | The user cloaks itself in fire and charges at the target. The user sustains serious damage and may leave the target burned.
130 | Magma Storm | Fire | Special | 5 | 100 | 75 | The target becomes trapped within a maelstrom of fire that rages for four to five turns.
131 | Fusion Flare | Fire | Special | 5 | 100 | 100 | The user brings down a giant flame. This attack does greater damage when influenced by an enormous thunderbolt.
132 | Heat Wave | Fire | Special | 10 | 95 | 90 | The user attacks by exhaling hot breath on the opposing team. It may also leave targets with a burn.
133 | Inferno | Fire | Special | 5 | 100 | 50 | The user attacks by engulfing the target in an intense fire. It leaves the target with a burn.
134 | Sacred Fire | Fire | Physical | 5 | 100 | 95 | The target is razed with a mystical fire of great intensity. It may also leave the target with a burn.
135 | Searing Shot | Fire | Special | 5 | 100 | 100 | An inferno of scarlet flames torches everything around the user. It may leave the target with a burn.
136 | Flamethrower | Fire | Special | 15 | 90 | 100 | The target is scorched with an intense blast of fire. It may also leave the target with a burn.
137 | Blaze Kick | Fire | Physical | 10 | 85 | 90 | The user launches a kick that lands a critical hit more easily. It may also leave the target with a burn.
138 | Fiery Dance | Fire | Special | 10 | 80 | 100 | Cloaked in flames, the user dances energetically. It may also raise the user's Sp. Atk stat.
139 | Lava Plume | Fire | Special | 15 | 80 | 100 | An inferno of scarlet flames torches everything around the user. It may leave targets with a burn.
140 | Fire Punch | Fire | Physical | 15 | 75 | 100 | The target is punched with a fiery fist. It may leave the target with a burn.
141 | Flame Burst | Fire | Special | 15 | 70 | 100 | The user attacks the target with a bursting flame. The bursting flame damages Pokémon next to the target as well.
142 | Fire Fang | Fire | Physical | 15 | 65 | 95 | The user bites with flame-cloaked fangs. It may also make the target flinch or leave it burned.
143 | Flame Wheel | Fire | Physical | 25 | 60 | 100 | The user cloaks itself in fire and charges at the target. It may also leave the target with a burn.
144 | Fire Pledge | Fire | Special | 10 | 80 | 100 | A column of fire hits opposing Pokémon. When used with its Grass equivalent, its damage increases into a vast sea of fire.
145 | Flame Charge | Fire | Physical | 20 | 50 | 100 | The user cloaks itself with flame and attacks. Building up more power, it raises the user's Speed stat.
146 | Ember | Fire | Special | 25 | 40 | 100 | The target is attacked with small flames. It may also leave the target with a burn.
147 | Fire Spin | Fire | Special | 15 | 35 | 85 | The target becomes trapped within a fierce vortex of fire that rages for four to five turns.
148 | Incinerate | Fire | Special | 15 | 60 | 100 | The user attacks the target with fire. If the target is holding a Berry, the Berry becomes burnt up and unusable.
149 | Heat Crash | Fire | Physical | 10 | 1 | 100 | The user slams its target with its flame-covered body. The more the user outweighs the target, the greater the damage.
150 | Sunny Day | Fire | Status | 5 | 0 | 0 | The user intensifies the sun for five turns, powering up Fire-type moves.
151 | Will-O-Wisp | Fire | Status | 15 | 0 | 85 | The user shoots a sinister, bluish-white flame at the target to inflict a burn.
152 | Sky Attack | Flying | Physical | 5 | 140 | 90 | A second-turn attack move where critical hits land more easily. It may also make the target flinch.
153 | Brave Bird | Flying | Physical | 15 | 120 | 100 | The user tucks in its wings and charges from a low altitude. The user also takes serious damage.
154 | Hurricane | Flying | Special | 10 | 110 | 70 | The user attacks by wrapping its opponent in a fierce wind that flies up into the sky. It may also confuse the target.
155 | Aeroblast | Flying | Special | 5 | 100 | 95 | A vortex of air is shot at the target to inflict damage. Critical hits land more easily.
156 | Fly | Flying | Physical | 15 | 90 | 95 | The user soars, then strikes its target on the second turn. It can also be used for flying to any familiar town.
157 | Bounce | Flying | Physical | 5 | 85 | 85 | The user bounces up high, then drops on the target on the second turn. It may also leave the target with paralysis.
158 | Drill Peck | Flying | Physical | 20 | 80 | 100 | A corkscrewing attack with the sharp beak acting as a drill.
159 | Air Slash | Flying | Special | 15 | 75 | 95 | The user attacks with a blade of air that slices even the sky. It may also make the target flinch.
160 | Aerial Ace | Flying | Physical | 20 | 60 | 0 | The user confounds the foe with speed, then slashes. The attack lands without fail.
161 | Chatter | Flying | Special | 20 | 65 | 100 | The user attacks using a sound wave based on words it has learned. It may also confuse the target.
162 | Pluck | Flying | Physical | 20 | 60 | 100 | The user pecks the target. If the target is holding a Berry, the user eats it and gains its effect.
163 | Sky Drop | Flying | Physical | 10 | 60 | 100 | The user takes the target into the sky, then drops it during the next turn. The target cannot attack while in the sky.
164 | Wing Attack | Flying | Physical | 35 | 60 | 100 | The target is struck with large, imposing wings spread wide to inflict damage.
165 | Acrobatics | Flying | Physical | 15 | 55 | 100 | The user nimbly strikes the target. If the user is not holding an item, this attack inflicts massive damage.
166 | Air Cutter | Flying | Special | 25 | 60 | 95 | The user launches razor-like wind to slash the opposing team. Critical hits land more easily.
167 | Gust | Flying | Special | 35 | 40 | 100 | A gust of wind is whipped up by wings and launched at the target to inflict damage.
168 | Peck | Flying | Physical | 35 | 35 | 100 | The target is jabbed with a sharply pointed beak or horn.
169 | Defog | Flying | Status | 15 | 0 | 0 | A strong wind blows away the target's obstacles such as Reflect or Light Screen. It also lowers the target's evasiveness.
170 | Feather Dance | Flying | Status | 15 | 0 | 100 | The user covers the target's body with a mass of down that harshly lowers its Attack stat.
171 | Mirror Move | Flying | Status | 20 | 0 | 0 | The user counters the target by mimicking the target's last move.
172 | Roost | Flying | Status | 10 | 0 | 0 | The user lands and rests its body. It restores the user's HP by up to half of its max HP.
173 | Tailwind | Flying | Status | 15 | 0 | 0 | The user whips up a turbulent whirlwind that ups the Speed of all party Pokémon for four turns.
174 | Shadow Force | Ghost | Physical | 5 | 120 | 100 | The user disappears, then strikes the target on the second turn. It hits even if the target protects itself.
175 | Shadow Ball | Ghost | Special | 15 | 80 | 100 | The user hurls a shadowy blob at the target. It may also lower the target's Sp. Def stat.
176 | Shadow Claw | Ghost | Physical | 15 | 70 | 100 | The user slashes with a sharp claw made from shadows. Critical hits land more easily.
177 | Ominous Wind | Ghost | Special | 5 | 60 | 100 | The user blasts the target with a gust of repulsive wind. It may also raise all the user's stats at once.
178 | Shadow Punch | Ghost | Physical | 20 | 60 | 0 | The user throws a punch from the shadows. The punch lands without fail.
179 | Hex | Ghost | Special | 10 | 65 | 100 | This relentless attack does massive damage to a target affected by status problems.
180 | Shadow Sneak | Ghost | Physical | 30 | 40 | 100 | The user extends its shadow and attacks the target from behind. This move always goes first.
181 | Astonish | Ghost | Physical | 15 | 30 | 100 | The user attacks the target while shouting in a startling fashion. It may also make the target flinch.
182 | Lick | Ghost | Physical | 30 | 30 | 100 | The target is licked with a long tongue, causing damage. It may also leave the target with paralysis.
183 | Night Shade | Ghost | Special | 15 | 1 | 100 | The user makes the target see a frightening mirage. It inflicts damage matching the user's level.
184 | Confuse Ray | Ghost | Status | 10 | 0 | 100 | The target is exposed to a sinister ray that triggers confusion.
185 | Curse | Ghost | Status | 10 | 0 | 0 | A move that works differently for the Ghost type than for all the other types.
186 | Destiny Bond | Ghost | Status | 5 | 0 | 0 | When this move is used, if the user faints, the Pokémon that landed the knockout hit also faints.
187 | Grudge | Ghost | Status | 5 | 0 | 0 | If the user faints, the user's grudge fully depletes the PP of the opponent's move that knocked it out.
188 | Nightmare | Ghost | Status | 15 | 0 | 100 | A sleeping target sees a nightmare that inflicts some damage every turn.
189 | Spite | Ghost | Status | 10 | 0 | 100 | The user unleashes its grudge on the move last used by the target by cutting 4 PP from it.
190 | Frenzy Plant | Grass | Special | 5 | 150 | 90 | The user slams the target with an enormous tree. The user can't move on the next turn.
191 | Leaf Storm | Grass | Special | 5 | 130 | 90 | The user whips up a storm of leaves around the target. The attack's recoil harshly reduces the user's Sp. Atk stat.
192 | Petal Dance | Grass | Special | 10 | 120 | 100 | The user attacks the target by scattering petals for two to three turns. The user then becomes confused.
193 | Power Whip | Grass | Physical | 10 | 120 | 85 | The user violently whirls its vines or tentacles to harshly lash the target.
194 | Seed Flare | Grass | Special | 5 | 120 | 85 | The user emits a shock wave from its body to attack its target. It may harshly lower the target's Sp. Def.
195 | Solar Beam | Grass | Special | 10 | 120 | 100 | A two-turn attack. The user gathers light, then blasts a bundled beam on the second turn.
196 | Wood Hammer | Grass | Physical | 15 | 120 | 100 | The user slams its rugged body into the target to attack. The user also sustains serious damage.
197 | Leaf Blade | Grass | Physical | 15 | 90 | 100 | The user handles a sharp leaf like a sword and attacks by cutting its target. Critical hits land more easily.
198 | Energy Ball | Grass | Special | 10 | 90 | 100 | The user draws power from nature and fires it at the target. It may also lower the target's Sp. Def.
199 | Seed Bomb | Grass | Physical | 15 | 80 | 100 | The user slams a barrage of hard-shelled seeds down on the target from above.
200 | Giga Drain | Grass | Special | 10 | 75 | 100 | A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
201 | Horn Leech | Grass | Physical | 10 | 75 | 100 | The user drains the target's energy with its horns. The user's HP is restored by half the damage taken by the target.
202 | Leaf Tornado | Grass | Special | 10 | 65 | 90 | The user attacks its target by encircling it in sharp leaves. This attack may also lower the foe's accuracy.
203 | Magical Leaf | Grass | Special | 20 | 60 | 0 | The user scatters curious leaves that chase the target. This attack will not miss.
204 | Needle Arm | Grass | Physical | 15 | 60 | 100 | The user attacks by wildly swinging its thorny arms. It may also make the target flinch.
205 | Razor Leaf | Grass | Physical | 25 | 55 | 95 | Sharp-edged leaves are launched to slash at the opposing team. Critical hits land more easily.
206 | Grass Pledge | Grass | Special | 10 | 80 | 100 | A column of grass hits opposing Pokémon. When used with its water equivalent, its damage increases into a vast swamp.
207 | Mega Drain | Grass | Special | 15 | 40 | 100 | A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
208 | Vine Whip | Grass | Physical | 25 | 45 | 100 | The target is struck with slender, whiplike vines to inflict damage.
209 | Bullet Seed | Grass | Physical | 30 | 25 | 100 | The user forcefully shoots seeds at the target. Two to five seeds are shot in rapid succession.
210 | Absorb | Grass | Special | 25 | 20 | 100 | A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
211 | Grass Knot | Grass | Special | 20 | 1 | 100 | The user snares the target with grass and trips it. The heavier the target, the greater the damage.
212 | Aromatherapy | Grass | Status | 5 | 0 | 0 | The user releases a soothing scent that heals all status problems affecting the user's party.
213 | Cotton Guard | Grass | Status | 10 | 0 | 0 | The user protects itself by wrapping its body in soft cotton, drastically raising the user's Defense stat.
214 | Cotton Spore | Grass | Status | 40 | 0 | 100 | The user releases cotton-like spores that cling to the target, harshly reducing its Speed stat.
215 | Grass Whistle | Grass | Status | 15 | 0 | 55 | The user plays a pleasant melody that lulls the target into a deep sleep.
216 | Ingrain | Grass | Status | 20 | 0 | 0 | The user lays roots that restore its HP on every turn. Because it is rooted, it can't switch out.
217 | Leech Seed | Grass | Status | 10 | 0 | 90 | A seed is planted on the target. It steals some HP from the target every turn.
218 | Sleep Powder | Grass | Status | 15 | 0 | 75 | The user scatters a big cloud of sleep-inducing dust around the target.
219 | Spore | Grass | Status | 15 | 0 | 100 | The user scatters bursts of spores that induce sleep.
220 | Stun Spore | Grass | Status | 30 | 0 | 75 | The user scatters a cloud of paralyzing powder. It may leave the target with paralysis.
221 | Synthesis | Grass | Status | 5 | 0 | 0 | The user restores its own HP. The amount of HP regained varies with the weather.
222 | Worry Seed | Grass | Status | 10 | 0 | 100 | A seed that causes worry is planted on the target. It prevents sleep by making its Ability Insomnia.
223 | Earthquake | Ground | Physical | 10 | 100 | 100 | The user sets off an earthquake that strikes every Pokémon around it.
224 | Earth Power | Ground | Special | 10 | 90 | 100 | The user makes the ground under the target erupt with power. It may also lower the target's Sp. Def.
225 | Dig | Ground | Physical | 10 | 80 | 100 | The user burrows, then attacks on the second turn. It can also be used to exit dungeons.
226 | Drill Run | Ground | Physical | 10 | 80 | 95 | The user crashes into its target while rotating its body like a drill. Critical hits land more easily.
227 | Bone Club | Ground | Physical | 20 | 65 | 85 | The user clubs the target with a bone. It may also make the target flinch.
228 | Mud Bomb | Ground | Special | 10 | 65 | 85 | The user launches a hard-packed mud ball to attack. It may also lower the target's accuracy.
229 | Bulldoze | Ground | Physical | 20 | 60 | 100 | The user stomps down on the ground and attacks everything in the area. Hit Pokémon's Speed stat is reduced.
