# Pokemon Insurgence Species Data (generated by generate_pokemon_data.py)
# ID | Name | Type1 | Type2 | Stage | Rarity | BaseHP | BaseAtk | BaseDef | BaseSpA | BaseSpD | BaseSpe | GrowthRate | Kind | PokedexEntry | Color | Habitat | GenderRate | Happiness | StepsToHatch | Height | Weight | BaseEXP | EVHP | EVAtk | EVDef | EVSpA | EVSpD | EVSpe | Ability1 | Ability2 | HiddenAbility | EggGroup1 | EggGroup2 | CatchRate
1 | Bulbasaur | Grass | Poison | 1 | Common | 45 | 49 | 49 | 65 | 65 | 45 | medium-slow | Seed | Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger. | Green |  | Female 12.5% | 70 | 5355 | 7 | 69 | 64 | 0 | 0 | 0 | 1 | 0 | 0 | Overgrow |  | Chlorophyll | Monster | Grass | 45
17 | Pidgeotto | Normal | Flying | 2 | Common | 63 | 60 | 55 | 50 | 50 | 71 | medium-slow | Bird | This Pokémon flies around, patrolling its large territory. If its living space is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws. | Brown | Grassland | Female 50% | 70 | 4080 | 11 | 300 | 122 | 0 | 0 | 0 | 0 | 0 | 2 | Keen Eye | Tangled Feet | Big Pecks | Flying |  | 120
18 | Pidgeot | Normal | Flying | 3 | Common | 83 | 80 | 75 | 70 | 70 | 101 | medium-slow | Bird | This Pokémon has gorgeous, glossy feathers. Many trainers are so captivated by the beautiful feathers on its head that they choose Pidgeot as their Pokémon. | Brown | Grassland | Female 50% | 70 | 4080 | 15 | 395 | 211 | 0 | 0 | 0 | 0 | 0 | 3 | Keen Eye | Tangled Feet | Big Pecks | Flying |  | 45
19 | Rattata | Normal |  | 1 | Common | 30 | 56 | 35 | 25 | 35 | 72 | medium-fast | Mouse | A Rattata is cautious in the extreme. Even while it is asleep, it constantly moves its ears and listens for danger. It will make its nest anywhere. | Purple |  | Female 50% | 70 | 4080 | 3 | 35 | 51 | 0 | 0 | 0 | 0 | 0 | 1 | Run Away | Guts | Hustle | Field |  | 255
20 | Raticate | Normal |  | 2 | Common | 55 | 81 | 60 | 50 | 70 | 97 | medium-fast | Mouse | A Raticate's sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses. | Brown |  | Female 50% | 70 | 4080 | 7 | 185 | 145 | 0 | 0 | 0 | 0 | 0 | 2 | Run Away | Guts | Hustle | Field |  | 127
21 | Spearow | Normal | Flying | 1 | Common | 40 | 60 | 30 | 31 | 31 | 70 | medium-fast | Tiny Bird | Its loud cry can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger. | Brown | Mountain | Female 50% | 70 | 4080 | 3 | 20 | 52 | 0 | 0 | 0 | 0 | 0 | 1 | Keen Eye |  | Sniper | Flying |  | 255
22 | Fearow | Normal | Flying | 2 | Common | 65 | 90 | 65 | 61 | 61 | 100 | medium-fast | Beak | Its long neck and elongated beak are ideal for catching prey in soil or water. It deftly moves this extended and skinny beak to pluck prey. | Brown | Mountain | Female 50% | 70 | 4080 | 12 | 380 | 155 | 0 | 0 | 0 | 0 | 0 | 2 | Keen Eye |  | Sniper | Flying |  | 90
23 | Ekans | Poison |  | 1 | Common | 35 | 60 | 44 | 40 | 54 | 55 | medium-fast | Snake | An Ekans curls itself up in a spiral while it rests. This position allows it to quickly respond to an enemy from any direction with a threat from its upraised head. | Purple |  | Female 50% | 70 | 5355 | 20 | 69 | 58 | 0 | 1 | 0 | 0 | 0 | 0 | Intimidate | Shed Skin | Unnerve | Field | Dragon | 255
24 | Arbok | Poison |  | 2 | Common | 60 | 85 | 69 | 65 | 79 | 80 | medium-fast | Cobra | This Pokémon has a terrifically strong constricting power. It can even flatten steel oil drums. Once it wraps its body around its foe, escaping is impossible. | Purple |  | Female 50% | 70 | 5355 | 35 | 650 | 153 | 0 | 2 | 0 | 0 | 0 | 0 | Intimidate | Shed Skin | Unnerve | Field | Dragon | 90
25 | Pikachu | Electric |  | 2 | Common | 35 | 55 | 40 | 50 | 50 | 90 | medium-fast | Mouse | It stores electricity in the electric sacs on its cheeks. When it releases pent-up energy in a burst, the electric power is equal to a lightning bolt. | Yellow | Grassland | Female 50% | 70 | 2805 | 4 | 60 | 105 | 0 | 0 | 0 | 0 | 0 | 2 | Static |  | Lightning Rod | Field | Fairy | 190
26 | Raichu | Electric |  | 3 | Common | 60 | 90 | 55 | 90 | 80 | 110 | medium-fast | Mouse | If it stores too much electricity, its behavior turns aggressive. To avoid this, it occasionally discharges excess energy and calms itself down. | Yellow | Grassland | Female 50% | 70 | 2805 | 8 | 300 | 214 | 0 | 0 | 0 | 0 | 0 | 3 | Static |  | Lightning Rod | Field | Fairy | 75
27 | Sandshrew | Ground |  | 1 | Common | 50 | 75 | 85 | 20 | 30 | 40 | medium-fast | Mouse | When it curls up in a ball, it can make any attack bounce off harmlessly. Its hide has turned tough and solid as a result of living in the desert. | Yellow | Mountain | Female 50% | 70 | 5355 | 6 | 120 | 60 | 0 | 0 | 1 | 0 | 0 | 0 | Sand Veil |  | Sand Rush | Field |  | 255
28 | Sandslash | Ground |  | 2 | Common | 75 | 100 | 110 | 45 | 55 | 65 | medium-fast | Mouse | It curls up in a ball to protect itself from enemy attacks. It also curls up to prevent heatstroke during the daytime when temperatures rise sharply. | Yellow | Mountain | Female 50% | 70 | 5355 | 10 | 295 | 158 | 0 | 0 | 2 | 0 | 0 | 0 | Sand Veil |  | Sand Rush | Field |  | 90
29 | Nidoran | Poison |  | 1 | Common | 55 | 47 | 52 | 40 | 40 | 41 | medium-slow | Poison Pin | Its highly toxic barbs are thought to have developed as protection for this small-bodied Pokémon. When enraged, it releases a horrible toxin from its horn. | Blue |  | Always female | 70 | 5355 | 4 | 70 | 55 | 1 | 0 | 0 | 0 | 0 | 0 | Poison Point | Rivalry | Hustle | Monster | Field | 235
30 | Nidorina | Poison |  | 2 | Common | 70 | 62 | 67 | 55 | 55 | 56 | medium-slow | Poison Pin | When it is with its friends or family, its barbs are tucked away to prevent injury. It appears to become nervous if separated from the others. | Blue |  | Always female | 70 | 5355 | 8 | 200 | 128 | 2 | 0 | 0 | 0 | 0 | 0 | Poison Point | Rivalry | Hustle | Undiscovered |  | 120
31 | Nidoqueen | Poison | Ground | 3 | Common | 90 | 92 | 87 | 75 | 85 | 76 | medium-slow | Drill | It is adept at sending foes flying with harsh tackles using its tough, scaly body. This Pokémon is at its strongest when it is defending its young. | Blue |  | Always female | 70 | 5355 | 13 | 600 | 223 | 3 | 0 | 0 | 0 | 0 | 0 | Poison Point | Rivalry | Sheer Force | Undiscovered |  | 45
32 | Nidoran | Poison |  | 1 | Common | 46 | 57 | 40 | 40 | 40 | 50 | medium-slow | Poison Pin | The male Nidoran has developed muscles that freely move its ears in any direction. Even the slightest sound does not escape this Pokémon's notice. | Purple |  | Always male | 70 | 5355 | 5 | 90 | 55 | 0 | 1 | 0 | 0 | 0 | 0 | Poison Point | Rivalry | Hustle | Monster | Field | 235
33 | Nidorino | Poison |  | 2 | Common | 61 | 72 | 57 | 55 | 55 | 65 | medium-slow | Poison Pin | Its horn is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might. | Purple |  | Always male | 70 | 5355 | 9 | 195 | 128 | 0 | 2 | 0 | 0 | 0 | 0 | Poison Point | Rivalry | Hustle | Monster | Field | 120
34 | Nidoking | Poison | Ground | 3 | Common | 81 | 102 | 77 | 85 | 75 | 85 | medium-slow | Drill | A Nidoking's thick tail packs enormously destructive power capable of toppling a metal transmission tower. Once it goes on a rampage, there is no stopping it. | Purple |  | Always male | 70 | 5355 | 14 | 620 | 223 | 0 | 3 | 0 | 0 | 0 | 0 | Poison Point | Rivalry | Sheer Force | Monster | Field | 45
35 | Clefairy | Fairy |  | 2 | Common | 70 | 45 | 48 | 60 | 65 | 35 | fast | Fairy | On every night of a full moon, they come out to play. When dawn arrives, the tired Clefairy go to sleep nestled up against each other in deep and quiet mountains. | Pink | Cave | Female 75% | 140 | 2805 | 6 | 75 | 113 | 2 | 0 | 0 | 0 | 0 | 0 | Cute Charm | Magic Guard | Friend Guard | Fairy |  | 150
36 | Clefable | Fairy |  | 3 | Common | 95 | 70 | 73 | 95 | 90 | 60 | fast | Fairy | A Clefable uses its wings to skip lightly as if it were flying. Its bouncy step lets it even walk on water. On quiet, moonlit nights, it strolls on lakes. | Pink | Cave | Female 75% | 140 | 2805 | 13 | 400 | 213 | 3 | 0 | 0 | 0 | 0 | 0 | Cute Charm | Magic Guard | Unaware | Fairy |  | 25
37 | Vulpix | Fire |  | 1 | Common | 38 | 41 | 40 | 50 | 65 | 65 | medium-fast | Fox | It can freely control fire, making fiery orbs fly like will-o'-the-wisps. Just before evolution, its six tails grow hot as if on fire. | Brown |  | Female 75% | 70 | 5355 | 6 | 99 | 60 | 0 | 0 | 0 | 0 | 0 | 1 | Flash Fire |  | Drought | Field |  | 190
38 | Ninetales | Fire |  | 2 | Common | 73 | 76 | 75 | 81 | 100 | 100 | medium-fast | Fox | It has long been said that each of the nine tails embody an enchanted power. A long-lived Ninetales will have fur that shines like gold. | Yellow |  | Female 75% | 70 | 5355 | 11 | 199 | 177 | 0 | 0 | 0 | 0 | 1 | 1 | Flash Fire |  | Drought | Field |  | 75
39 | Jigglypuff | Normal | Fairy | 2 | Common | 115 | 45 | 20 | 45 | 25 | 20 | fast | Balloon | Nothing can avoid falling asleep hearing a Jigglypuff's song. The sound waves of its singing voice match the brain waves of someone in a deep sleep. | Pink |  | Female 75% | 70 | 2805 | 5 | 55 | 95 | 2 | 0 | 0 | 0 | 0 | 0 | Cute Charm | Competitive | Friend Guard | Fairy |  | 170
40 | Wigglytuff | Normal | Fairy | 3 | Common | 140 | 70 | 45 | 85 | 50 | 45 | fast | Balloon | Its fur is the ultimate in luxuriousness. Sleeping alongside a Wigglytuff is simply divine. Its body expands seemingly without end when it inhales. | Pink |  | Female 75% | 70 | 2805 | 10 | 120 | 191 | 3 | 0 | 0 | 0 | 0 | 0 | Cute Charm | Competitive | Frisk | Fairy |  | 50
41 | Zubat | Poison | Flying | 1 | Common | 40 | 45 | 35 | 30 | 40 | 55 | medium-fast | Bat | While living in pitch-black caverns, their eyes gradually grew shut and deprived them of vision. They use ultrasonic waves to detect obstacles. | Purple | Sea | Female 50% | 70 | 4080 | 8 | 75 | 49 | 0 | 0 | 0 | 0 | 0 | 1 | Inner Focus |  | Infiltrator | Flying |  | 255
42 | Golbat | Poison | Flying | 2 | Common | 75 | 80 | 70 | 65 | 75 | 90 | medium-fast | Bat | Its fangs easily puncture even thick animal hide. It loves to feast on the blood of people and Pokémon. It flits about in darkness and strikes from behind. | Purple | Sea | Female 50% | 70 | 4080 | 16 | 550 | 159 | 0 | 0 | 0 | 0 | 0 | 2 | Inner Focus |  | Infiltrator | Flying |  | 90
43 | Oddish | Grass | Poison | 1 | Common | 45 | 50 | 55 | 75 | 65 | 30 | medium-slow | Weed | This Pokémon grows by absorbing moonlight. During the daytime, it buries itself in the ground, leaving only its leaves exposed to avoid detection by its enemies. | Blue |  | Female 50% | 70 | 5355 | 5 | 54 | 64 | 0 | 0 | 0 | 1 | 0 | 0 | Chlorophyll |  | Run Away | Grass |  | 255
44 | Gloom | Grass | Poison | 2 | Common | 60 | 65 | 70 | 85 | 75 | 40 | medium-slow | Weed | A horribly noxious honey drools from its mouth. One whiff of the honey can result in memory loss. Some fans are said to enjoy this overwhelming stink, however. | Blue |  | Female 50% | 70 | 5355 | 8 | 86 | 138 | 0 | 0 | 0 | 2 | 0 | 0 | Chlorophyll |  | Stench | Grass |  | 120
45 | Vileplume | Grass | Poison | 3 | Common | 75 | 80 | 85 | 110 | 90 | 50 | medium-slow | Flower | In seasons when it produces more pollen, the air around a Vileplume turns yellow with the powder as it walks. The pollen is highly toxic and causes paralysis. | Red |  | Female 50% | 70 | 5355 | 12 | 186 | 216 | 0 | 0 | 0 | 3 | 0 | 0 | Chlorophyll |  | Effect Spore | Grass |  | 45
46 | Paras | Bug | Grass | 1 | Common | 35 | 70 | 55 | 45 | 55 | 25 | medium-fast | Mushroom | A Paras has parasitic tochukaso mushrooms growing on its back. They grow by drawing nutrients from the host. They are valued as a medicine for long life. | Red | Grassland | Female 50% | 70 | 5355 | 3 | 54 | 57 | 0 | 1 | 0 | 0 | 0 | 0 | Effect Spore | Dry Skin | Damp | Bug | Grass | 190
47 | Parasect | Bug | Grass | 2 | Common | 60 | 95 | 80 | 60 | 80 | 30 | medium-fast | Mushroom | Parasect are known to infest the roots of large trees en masse and drain nutrients. When an infested tree dies, they move onto another tree all at once. | Red | Grassland | Female 50% | 70 | 5355 | 10 | 295 | 142 | 0 | 2 | 1 | 0 | 0 | 0 | Effect Spore | Dry Skin | Damp | Bug | Grass | 75
48 | Venonat | Bug | Poison | 1 | Common | 60 | 55 | 50 | 40 | 55 | 45 | medium-fast | Insect | Its coat of thin, stiff hair that covers its entire body is said to have evolved for protection. Its large eyes never fail to spot even miniscule prey. | Purple | Grassland | Female 50% | 70 | 5355 | 10 | 300 | 61 | 0 | 0 | 0 | 0 | 1 | 0 | Compound Eyes | Tinted Lens | Run Away | Bug |  | 190
49 | Venomoth | Bug | Poison | 2 | Common | 70 | 65 | 60 | 90 | 75 | 90 | medium-fast | Poison Moth | Venomoth are nocturnal--they only are active at night. Their favorite prey are insects that gather around streetlights, attracted by the light in the darkness. | Purple | Grassland | Female 50% | 70 | 5355 | 15 | 125 | 158 | 0 | 0 | 0 | 1 | 0 | 1 | Shield Dust | Tinted Lens | Wonder Skin | Bug |  | 75
50 | Diglett | Ground |  | 1 | Common | 10 | 55 | 25 | 35 | 45 | 95 | medium-fast | Mole | Diglett are raised in most farms. The reason is simple--wherever they burrow, the soil is left perfectly tilled for growing delicious crops. | Brown | Sea | Female 50% | 70 | 5355 | 2 | 8 | 53 | 0 | 0 | 0 | 0 | 0 | 1 | Sand Veil | Arena Trap | Sand Force | Field |  | 255
51 | Dugtrio | Ground |  | 2 | Common | 35 | 80 | 50 | 50 | 70 | 120 | medium-fast | Mole | Because the triplets originally split from one body, they think exactly alike. They work cooperatively to burrow endlessly through the ground. | Brown | Sea | Female 50% | 70 | 5355 | 7 | 333 | 142 | 0 | 0 | 0 | 0 | 0 | 2 | Sand Veil | Arena Trap | Sand Force | Field |  | 50
52 | Meowth | Normal |  | 1 | Common | 40 | 45 | 35 | 40 | 40 | 90 | medium-fast | Scratch Cat | Meowth withdraw their sharp claws into their paws to silently sneak about. For some reason, this Pokémon loves shiny coins that glitter with light. | Yellow | RoughTerrain | Female 50% | 70 | 5355 | 4 | 42 | 58 | 0 | 0 | 0 | 0 | 0 | 1 | Pickup | Technician | Unnerve | Field |  | 255
53 | Persian | Normal |  | 2 | Common | 65 | 70 | 60 | 65 | 65 | 115 | medium-fast | Classy Cat | A Persian's six bold whiskers sense air movements to determine what is in its vicinity. It becomes docile if grabbed by the whiskers. | Yellow | RoughTerrain | Female 50% | 70 | 5355 | 10 | 320 | 154 | 0 | 0 | 0 | 0 | 0 | 2 | Limber | Technician | Unnerve | Field |  | 90
54 | Psyduck | Water |  | 1 | Common | 50 | 52 | 48 | 65 | 50 | 55 | medium-fast | Duck | When its headache intensifies, it starts using strange powers. However, it has no recollection of its powers, so it always looks befuddled and bewildered. | Yellow | Forest | Female 50% | 70 | 5355 | 8 | 196 | 64 | 0 | 0 | 0 | 1 | 0 | 0 | Damp | Cloud Nine | Swift Swim | Water1 | Field | 190
55 | Golduck | Water |  | 2 | Common | 80 | 82 | 78 | 95 | 80 | 85 | medium-fast | Duck | A Golduck is an adept swimmer. It sometimes joins competitive swimmers in training. It uses psychic powers when its forehead shimmers with light. | Blue | Forest | Female 50% | 70 | 5355 | 17 | 766 | 175 | 0 | 0 | 0 | 2 | 0 | 0 | Damp | Cloud Nine | Swift Swim | Water1 | Field | 75
56 | Mankey | Fighting |  | 1 | Common | 40 | 80 | 35 | 35 | 45 | 70 | medium-fast | Pig Monkey | When it starts shaking and its nasal breathing turns rough, it's a sure sign of anger. However, since this happens instantly, there is no time to flee. | Brown | Cave | Female 50% | 70 | 5355 | 5 | 280 | 61 | 0 | 1 | 0 | 0 | 0 | 0 | Vital Spirit | Anger Point | Defiant | Field |  | 190
57 | Primeape | Fighting |  | 2 | Common | 65 | 105 | 60 | 60 | 70 | 95 | medium-fast | Pig Monkey | When it becomes furious, its blood circulation becomes more robust, and its muscles are made stronger. But it also becomes much less intelligent. | Brown | Cave | Female 50% | 70 | 5355 | 10 | 320 | 159 | 0 | 2 | 0 | 0 | 0 | 0 | Vital Spirit | Anger Point | Defiant | Field |  | 75
58 | Growlithe | Fire |  | 1 | Common | 55 | 70 | 45 | 70 | 50 | 60 | slow | Puppy | Its superb sense of smell ensures that this Pokémon won't forget any scent, no matter what. It uses its sense of smell to detect the emotions of others. | Brown |  | Female 25% | 70 | 5355 | 7 | 190 | 70 | 0 | 1 | 0 | 0 | 0 | 0 | Intimidate | Flash Fire | Justified | Field |  | 190
59 | Arcanine | Fire |  | 2 | Common | 90 | 110 | 80 | 100 | 80 | 95 | slow | Legendary | This fleet-footed Pokémon is said to run over 6,200 miles in a single day and night. The fire that blazes wildly within its body is its source of power. | Brown |  | Female 25% | 70 | 5355 | 19 | 1550 | 194 | 0 | 2 | 0 | 0 | 0 | 0 | Intimidate | Flash Fire | Justified | Field |  | 75
60 | Poliwag | Water |  | 1 | Common | 40 | 50 | 40 | 40 | 40 | 90 | medium-slow | Tadpole | It is possible to see this Pokémon's spiral innards right through its thin skin. However, the skin is also very flexible. Even sharp fangs bounce right off it. | Blue | Forest | Female 50% | 70 | 5355 | 6 | 124 | 60 | 0 | 0 | 0 | 0 | 0 | 1 | Water Absorb | Damp | Swift Swim | Water1 |  | 255
61 | Poliwhirl | Water |  | 2 | Common | 65 | 65 | 65 | 50 | 50 | 90 | medium-slow | Tadpole | Its body surface is always wet and slick with an oily fluid. Because of this greasy covering, it can easily slip and slide out of the clutches of any enemy in battle. | Blue | Forest | Female 50% | 70 | 5355 | 10 | 200 | 135 | 0 | 0 | 0 | 0 | 0 | 2 | Water Absorb | Damp | Swift Swim | Water1 |  | 120
62 | Poliwrath | Water | Fighting | 3 | Common | 90 | 95 | 95 | 70 | 90 | 70 | medium-slow | Tadpole | Its highly developed muscles never grow fatigued, however much it exercises. This Pokémon can swim back and forth across the Pacific Ocean without effort. | Blue | Forest | Female 50% | 70 | 5355 | 13 | 540 | 225 | 0 | 0 | 3 | 0 | 0 | 0 | Water Absorb | Damp | Swift Swim | Water1 |  | 45
63 | Abra | Psychic |  | 1 | Common | 25 | 20 | 15 | 105 | 55 | 90 | medium-slow | Psi | A Pokémon that sleeps 18 hours a day. Observation revealed that it uses Teleport to change its location once every hour. | Brown | RoughTerrain | Female 25% | 70 | 5355 | 9 | 195 | 62 | 0 | 0 | 0 | 1 | 0 | 0 | Synchronize | Inner Focus | Magic Guard | Humanlike |  | 200
64 | Kadabra | Psychic |  | 2 | Common | 40 | 35 | 30 | 120 | 70 | 105 | medium-slow | Psi | It is rumored that a boy with psychic abilities suddenly transformed into Kadabra while he was assisting research into extrasensory powers. | Brown | RoughTerrain | Female 25% | 70 | 5355 | 13 | 565 | 140 | 0 | 0 | 0 | 2 | 0 | 0 | Synchronize | Inner Focus | Magic Guard | Humanlike |  | 100
65 | Alakazam | Psychic |  | 3 | Common | 55 | 50 | 45 | 135 | 95 | 120 | medium-slow | Psi | While it has strong psychic abilities and high intelligence, an Alakazam's muscles are very weak. It uses psychic power to move its body. | Brown | RoughTerrain | Female 25% | 70 | 5355 | 15 | 480 | 221 | 0 | 0 | 0 | 3 | 0 | 0 | Synchronize | Inner Focus | Magic Guard | Humanlike |  | 50
66 | Machop | Fighting |  | 1 | Common | 70 | 80 | 50 | 35 | 35 | 35 | medium-slow | Superpower | It continually undertakes strenuous training to master all forms of martial arts. Its strength lets it easily hoist a sumo wrestler onto its shoulders. | Gray | Cave | Female 25% | 70 | 5355 | 8 | 195 | 61 | 0 | 1 | 0 | 0 | 0 | 0 | Guts | No Guard | Steadfast | Humanlike |  | 180
67 | Machoke | Fighting |  | 2 | Common | 80 | 100 | 70 | 50 | 60 | 45 | medium-slow | Superpower | A belt is worn by a Machoke to keep its overwhelming power under control. Because it is so dangerous, no one has ever removed the belt. | Gray | Cave | Female 25% | 70 | 5355 | 15 | 705 | 142 | 0 | 2 | 0 | 0 | 0 | 0 | Guts | No Guard | Steadfast | Humanlike |  | 90
68 | Machamp | Fighting |  | 3 | Common | 90 | 130 | 80 | 65 | 85 | 55 | medium-slow | Superpower | It is impossible to defend against punches and chops doled out by its four arms. Its fighting spirit flares up when it faces a tough opponent. | Gray | Cave | Female 25% | 70 | 5355 | 16 | 1300 | 227 | 0 | 3 | 0 | 0 | 0 | 0 | Guts | No Guard | Steadfast | Humanlike |  | 45
