# Pokemon Insurgence Ability Data (generated by generate_data_from_game.py)
# ID | Name | Description
42 | Magnet Pull | Prevents Steel-type Pokémon from escaping.
43 | Soundproof | Gives full immunity to all sound-based moves.
44 | Rain Dish | The Pokémon gradually regains HP in rain.
45 | Sand Stream | The Pokémon summons a sandstorm in battle.
46 | Pressure | The Pokémon raises the foe's PP usage.
47 | Thick Fat | Ups resistance to Fire- and Ice-type moves.
48 | Early Bird | The Pokémon awakens quickly from sleep.
49 | Flame Body | Contact with the Pokémon may burn the attacker.
50 | Run Away | Enables a sure getaway from wild Pokémon.
51 | Keen Eye | Prevents other Pokémon from lowering accuracy.
52 | Hyper Cutter | Prevents other Pokémon from lowering Attack stat.
53 | Pickup | The Pokémon may pick up items.
54 | Truant | Pokémon can't attack on consecutive turns.
55 | Hustle | Boosts the Attack stat, but lowers accuracy.
56 | Cute Charm | Contact with the Pokémon may cause infatuation.
57 | Plus | Ups Sp. Atk if another Pokémon has Plus or Minus.
58 | Minus | Ups Sp. Atk if another Pokémon has Plus or Minus.
59 | Forecast | Castform transforms with the weather.
60 | Sticky Hold | Protects the Pokémon from item theft.
61 | Shed Skin | The Pokémon may heal its own status problems.
62 | Guts | Boosts Attack if there is a status problem.
63 | Marvel Scale | Ups Defense if there is a status problem.
64 | Liquid Ooze | Damages attackers using any draining move.
65 | Overgrow | Powers up Grass-type moves in a pinch.
66 | Blaze | Powers up Fire-type moves in a pinch.
67 | Torrent | Powers up Water-type moves in a pinch.
68 | Swarm | Powers up Bug-type moves in a pinch.
69 | Rock Head | Protects the Pokémon from recoil damage.
70 | Drought | Turns the sunlight harsh if it is in battle.
71 | Arena Trap | Prevents the foe from fleeing.
72 | Vital Spirit | Prevents the Pokémon from falling asleep.
73 | White Smoke | Prevents other Pokémon from lowering its stats.
74 | Pure Power | Raises the Pokémon's Attack stat.
75 | Shell Armor | The Pokémon is protected against critical hits.
76 | Air Lock | Eliminates the effects of weather.
77 | Tangled Feet | Raises evasion if the Pokémon is confused.
78 | Motor Drive | Raises Speed if hit by an Electric-type move.
79 | Rivalry | Deals more damage to a foe of the same gender.
80 | Steadfast | Raises Speed each time the Pokémon flinches.
81 | Snow Cloak | Raises evasion in a hailstorm.
82 | Gluttony | Encourages the early use of a held Berry.
83 | Anger Point | Maxes Attack after taking a critical hit.
84 | Unburden | Raises Speed if a held item is used.
85 | Heatproof | Weakens the power of Fire-type moves.
86 | Simple | The Pokémon is prone to wild stat changes.
87 | Dry Skin | Reduces HP if it is hot. Water restores HP.
88 | Download | Adjusts power according to a foe's defenses.
89 | Iron Fist | Boosts the power of punching moves.
90 | Poison Heal | Restores HP if the Pokémon is poisoned.
91 | Adaptability | Powers up moves of the same type.
92 | Skill Link | Increases the frequency of multi-strike moves.
93 | Hydration | Heals status problems if it is raining.
94 | Solar Power | In sunshine, Sp. Atk is boosted but HP decreases.
95 | Quick Feet | Boosts Speed if there is a status problem.
96 | Normalize | All the Pokémon's moves become the Normal type.
97 | Sniper | Powers up moves if they become critical hits.
98 | Magic Guard | The Pokémon only takes damage from attacks.
99 | No Guard | Ensures attacks by or against the Pokémon land.
100 | Stall | The Pokémon moves after all other Pokémon do.
101 | Technician | Powers up the Pokémon's weaker moves.
102 | Leaf Guard | Prevents problems with status in sunny weather.
103 | Klutz | The Pokémon can't use any held items.
104 | Mold Breaker | Moves can be used regardless of Abilities.
105 | Super Luck | Heightens the critical-hit ratios of moves.
106 | Aftermath | Damages the attacker landing the finishing hit.
107 | Anticipation | Senses a foe's dangerous moves.
108 | Forewarn | Determines what moves a foe has.
109 | Unaware | Ignores any stat changes in the Pokémon.
110 | Tinted Lens | Powers up "not very effective" moves.
111 | Filter | Reduces damage from supereffective attacks.
112 | Slow Start | Temporarily halves Attack and Speed.
113 | Scrappy | Enables moves to hit Ghost-type Pokémon.
114 | Storm Drain | Draws in all Water-type moves to up Sp. Attack.
115 | Ice Body | The Pokémon gradually regains HP in a hailstorm.
116 | Solid Rock | Reduces damage from supereffective attacks.
117 | Snow Warning | The Pokémon summons a hailstorm in battle.
118 | Honey Gather | The Pokémon may gather Honey from somewhere.
119 | Frisk | The Pokémon can check a foe's held item.
120 | Reckless | Powers up moves that have recoil damage.
121 | Multitype | Changes type to match the held Plate.
122 | Flower Gift | Powers up party Pokémon when it is sunny.
123 | Bad Dreams | Reduces a sleeping foe's HP.
124 | Pickpocket | Steals an item when hit by another Pokémon.
125 | Sheer Force | Removes added effects to increase move damage.
126 | Contrary | Makes stat changes have an opposite effect.
127 | Unnerve | Makes the foe nervous and unable to eat Berries.
128 | Defiant | When its stats are lowered its Attack increases.
129 | Defeatist | Lowers stats when HP becomes half or less.
130 | Cursed Body | May disable a move used on the Pokémon.
131 | Healer | May heal an ally's status conditions.
132 | Friend Guard | Reduces damage done to allies.
133 | Weak Armor | Physical attacks lower Defense and raise Speed.
134 | Heavy Metal | Doubles the Pokémon's weight.
135 | Light Metal | Halves the Pokémon's weight.
136 | Multiscale | Reduces damage when HP is full.
137 | Toxic Boost | Powers up physical attacks when poisoned.
138 | Flare Boost | Powers up special attacks when burned.
139 | Harvest | May create another Berry after one is used.
140 | Telepathy | Anticipates an ally's attack and dodges it.
141 | Moody | Raises one stat and lowers another.
142 | Overcoat | Protects the Pokémon from damage from weather.
143 | Poison Touch | May poison targets when a Pokémon makes contact.
144 | Regenerator | Restores a little HP when withdrawn from battle.
145 | Big Pecks | Protects the Pokémon from Defense-lowering attacks.
146 | Sand Rush | Boosts the Pokémon's Speed in a sandstorm.
147 | Wonder Skin | Makes status-changing moves more likely to miss.
148 | Analytic | Boosts move power when the Pokémon moves last.
149 | Illusion | Comes out disguised as the Pokémon in back.
150 | Imposter | It transforms itself into the Pokémon it is facing.
151 | Infiltrator | Passes through the foe's barrier and strikes.
152 | Mummy | Contact with this Pokémon spreads this Ability.
153 | Moxie | Boosts Attack after knocking out any Pokémon.
154 | Justified | Raises Attack when hit by a Dark-type move.
155 | Rattled | Some move types scare it and boost its Speed.
156 | Magic Bounce | Reflects status-changing moves.
157 | Sap Sipper | Boosts Attack when hit by a Grass-type move.
158 | Prankster | Gives priority to a status move.
159 | Sand Force | Boosts certain moves' power in a sandstorm.
160 | Iron Barbs | Inflicts damage to the Pokémon on contact.
161 | Zen Mode | Changes the Pokémon's shape when HP is halved.
162 | Victory Star | Boosts the accuracy of its allies and itself.
163 | Turboblaze | Moves can be used regardless of Abilities.
164 | Teravolt | Moves can be used regardless of Abilities.
165 | Glitch | Attackers that make contact will be corrupted.
166 | Fairy Aura | Fairy-type moves are boosted.
167 | Dark Aura | Dark-type moves are boosted.
168 | Aura Break | Aura abilities are reversed.
169 | Tough Claws | Boosts the power of contact moves by a third.
170 | Mega Launcher | Boosts the power of aura and pulse moves by 50%.
171 | Aerilate | Changes all Normal-type moves to Flying-type, and they gain a 30% boost.
172 | Refrigerate | Changes all Normal-moves to Ice-type moves
173 | Strong Jaw | Increase the power of biting moves.
174 | Speed Swap | Activates Trick Room on entering the battlefield.
175 | Foundry | Rock-type moves, when used, melt and become Fire-type, increasing their strength.
176 | Pixilate | Normal-type moves become stronger and become Fairy-type.
177 | Protean | The user becomes the type of a move used.
178 | Magician | The user steals the foe's held item on move contact.
179 | Stance Change | The user changes form depending on the move it uses.
180 | Hubris | Boosts Special Attack after knocking out.
181 | Gooey | Slows foe on contact.
182 | Athenian | Doubles the Pokémon's Special Attack stat.
183 | Parental Bond | The user's child attacks as well.
184 | Prism Guard | Inflicts damage to the foe from non-contact moves.
185 | Bulletproof | Grants immunity to bomb and ball-based moves.
186 | Gale Wings | The user's Flying-type moves always go first.
187 | Symbiosis | The user can pass an item along to an ally.
188 | Aroma Veil | Protects allies from attacks that limit their move choices.
189 | Cheek Pouch | Restores HP as well when the user consumes a berry.
190 | Competitive | Boosts the Sp.Atk stat when a stat is lowered.
191 | Fur Coat | Halves damage from physical moves.
192 | Grass Pelt | Boosts the Defense stat in Grassy Terrain.
193 | Magician | The Pokémon steals the held item of a Pokémon it hits with a move.
194 | Sweet Veil | Prevents itself and its allies from falling asleep.
195 | Flower Veil | Prevents the lowering of ally Grass-type Pokémon's stats.
196 | Samsaran Growth | Prevents the lowering of ally Grass-type Pokémon's stats.
197 | Samsaran Decay | Prevents the lowering of ally Grass-type Pokémon's stats.
198 | Samsaran Cycle | Prevents the lowering of ally Grass-type Pokémon's stats.
199 | Psycho Call | Powers up Psychic-type moves in a pinch.
200 | Spirit Call | Powers up Ghost-type moves in a pinch.
201 | Shadow Call | Powers up Dark-type moves in a pinch.
202 | Protean Maxima | The Pokémon changes form, stats and ability based on the type of move it uses.
203 | Noctem | The Pokémon summons darkness and blots out the sky as it enters the battle.
204 | Irrelephant | Immunities are irrelephant to this Pokémon's attacks.
205 | Heliophobia | This Pokémon heals itself when the New Moon is active.
206 | Shadow Dance | Boosts the Speed stat when the New Moon is active.
207 | Absolution | Boosts the Special Attack stat when the New Moon is active.
208 | Spectral Jaws | All Biting moves are Special.
209 | Wind Force | Flying-type moves boost this Pokémon's speed instead of damage it.
210 | Brute Force | All attacking moves utilize this Pokémon's attack stat.
211 | Ice Cleats | Speed is doubled in Hail.
212 | Amplifier | Sound-based moves are boosted by 1.25x.
213 | Primordial Sea | Heavy Rain falls when this Pokémon enters the battle.
214 | Desolate Land | Harsh sunlight shines when this Pokémon enters the battle.
215 | Delta Stream | A protecting air current appears when this Pokémon enters the battle.
216 | Ethereal Shroud | Grants the resistances and immunities of the Ghost-type.
217 | Pendulum | Increases power of moves used consecutively.
218 | Castle Moat | Absorbs Water-type moves to boost Sp.Def.
219 | Venomous | This Pokémon always badly poisons.
220 | Synthetic Alloy | This Pokémon takes neutral damage from Fire-type attacks.
221 | Regurgitation | This Pokémon's minion does damage after every attack.
222 | Winter Joy | Strengthened in winter and weakened in summer.
223 | Phototroph | The Pokémon gradually regains HP in sunny weather.
224 | Lernean | Grows more heads when it loses HP.
225 | Unleafed | This Pokémon avenges its friends by unloading its power.
226 | Sleet | Summons Hail and increases the damage of Hail.
227 | Periodic Orbit | Delayed moves will orbit and activate twice.
228 | Chlorofury | Boosts its stats to avenge its allies.
229 | Ancient Presence | User's moves are user's type and become neutral.
230 | Omnitype | Defending, the user is considered every type.
231 | Supercell | Special Attack surges in the Rain and Darkness.
232 | Intoxicate | Normal-type moves become stronger and become Poison-type.
233 | Event Horizon | Pokémon that contact this one can't escape.
234 | Vaporization | Water Pokémon take damage. Negates Water-type attacks.
235 | Blaze Boost | Fire moves up its stats. May burn on contact.
236 | Power Construct | Cells come to aid when its HP becomes half or less.
237 | Shadow Synergy | Summons a dark power to boost Dark-type moves.
238 | Vampiric | Recovers a little HP with contact moves.
